Gene stable ID	Human gene stable ID	Human Gene-order conservation score
ENSMUSG00000094836	ENSG00000239810	0
ENSMUSG00000094836	ENSG00000280267	0
ENSMUSG00000094836	ENSG00000204505	0
ENSMUSG00000094836	ENSG00000279169	0
ENSMUSG00000094836	ENSG00000270601	0
ENSMUSG00000094836	ENSG00000243073	0
ENSMUSG00000094836	ENSG00000229571	0
ENSMUSG00000094836	ENSG00000204481	0
ENSMUSG00000094836	ENSG00000182330	0
ENSMUSG00000094836	ENSG00000204501	0
ENSMUSG00000094836	ENSG00000274764	0
ENSMUSG00000094836	ENSG00000204510	0
ENSMUSG00002075729		
ENSMUSG00000096244		
ENSMUSG00000079808	ENSG00000135899	0
ENSMUSG00000095787		
ENSMUSG00000074720	ENSG00000204479	0
ENSMUSG00000074720	ENSG00000116726	0
ENSMUSG00000074720	ENSG00000116721	0
ENSMUSG00000074720	ENSG00000204480	0
ENSMUSG00000074720	ENSG00000204478	0
ENSMUSG00000074720	ENSG00000232423	0
ENSMUSG00000074720	ENSG00000279804	0
ENSMUSG00000074720	ENSG00000187545	0
ENSMUSG00000074720	ENSG00000120952	0
ENSMUSG00000074720	ENSG00000237700	0
ENSMUSG00000074720	ENSG00000239810	0
ENSMUSG00000074720	ENSG00000280267	0
ENSMUSG00000074720	ENSG00000204505	0
ENSMUSG00000074720	ENSG00000279169	0
ENSMUSG00000074720	ENSG00000270601	0
ENSMUSG00000074720	ENSG00000243073	0
ENSMUSG00000074720	ENSG00000229571	0
ENSMUSG00000074720	ENSG00000204481	0
ENSMUSG00000074720	ENSG00000182330	0
ENSMUSG00000074720	ENSG00000204501	0
ENSMUSG00000074720	ENSG00000274764	0
ENSMUSG00000074720	ENSG00000204510	0
ENSMUSG00000096236	ENSG00000204479	0
ENSMUSG00000096236	ENSG00000116726	0
ENSMUSG00000096236	ENSG00000116721	0
ENSMUSG00000096236	ENSG00000204480	0
ENSMUSG00000096236	ENSG00000204478	0
ENSMUSG00000096236	ENSG00000232423	0
ENSMUSG00000096236	ENSG00000279804	0
ENSMUSG00000096236	ENSG00000187545	0
ENSMUSG00000096236	ENSG00000120952	0
ENSMUSG00000096236	ENSG00000237700	0
ENSMUSG00000096236	ENSG00000239810	0
ENSMUSG00000096236	ENSG00000280267	0
ENSMUSG00000096236	ENSG00000204505	0
ENSMUSG00000096236	ENSG00000279169	0
ENSMUSG00000096236	ENSG00000270601	0
ENSMUSG00000096236	ENSG00000243073	0
ENSMUSG00000096236	ENSG00000229571	0
ENSMUSG00000096236	ENSG00000204481	0
ENSMUSG00000096236	ENSG00000182330	0
ENSMUSG00000096236	ENSG00000204501	0
ENSMUSG00000096236	ENSG00000274764	0
ENSMUSG00000096236	ENSG00000204510	0
ENSMUSG00000095092	ENSG00000135899	0
ENSMUSG00000094383	ENSG00000204479	0
ENSMUSG00000094383	ENSG00000116726	0
ENSMUSG00000094383	ENSG00000116721	0
ENSMUSG00000094383	ENSG00000204480	0
ENSMUSG00000094383	ENSG00000204478	0
ENSMUSG00000094383	ENSG00000232423	0
ENSMUSG00000094383	ENSG00000279804	0
ENSMUSG00000094383	ENSG00000187545	0
ENSMUSG00000094383	ENSG00000120952	0
ENSMUSG00000094383	ENSG00000237700	0
ENSMUSG00000094383	ENSG00000239810	0
ENSMUSG00000094383	ENSG00000280267	0
ENSMUSG00000094383	ENSG00000204505	0
ENSMUSG00000094383	ENSG00000279169	0
ENSMUSG00000094383	ENSG00000270601	0
ENSMUSG00000094383	ENSG00000243073	0
ENSMUSG00000094383	ENSG00000229571	0
ENSMUSG00000094383	ENSG00000204481	0
ENSMUSG00000094383	ENSG00000182330	0
ENSMUSG00000094383	ENSG00000204501	0
ENSMUSG00000094383	ENSG00000274764	0
ENSMUSG00000094383	ENSG00000204510	0
ENSMUSG00000094874	ENSG00000135899	0
ENSMUSG00000096680	ENSG00000204479	0
ENSMUSG00000096680	ENSG00000116726	0
ENSMUSG00000096680	ENSG00000116721	0
ENSMUSG00000096680	ENSG00000204480	0
ENSMUSG00000096680	ENSG00000204478	0
ENSMUSG00000096680	ENSG00000232423	0
ENSMUSG00000096680	ENSG00000279804	0
ENSMUSG00000096680	ENSG00000187545	0
ENSMUSG00000096680	ENSG00000120952	0
ENSMUSG00000096680	ENSG00000237700	0
ENSMUSG00000096680	ENSG00000239810	0
ENSMUSG00000096680	ENSG00000280267	0
ENSMUSG00000096680	ENSG00000204505	0
ENSMUSG00000096680	ENSG00000279169	0
ENSMUSG00000096680	ENSG00000270601	0
ENSMUSG00000096680	ENSG00000243073	0
ENSMUSG00000096680	ENSG00000229571	0
ENSMUSG00000096680	ENSG00000204481	0
ENSMUSG00000096680	ENSG00000182330	0
ENSMUSG00000096680	ENSG00000204501	0
ENSMUSG00000096680	ENSG00000274764	0
ENSMUSG00000096680	ENSG00000204510	0
ENSMUSG00000096100		
ENSMUSG00000094337	ENSG00000204479	0
ENSMUSG00000094337	ENSG00000116726	0
ENSMUSG00000094337	ENSG00000116721	0
ENSMUSG00000094337	ENSG00000204480	0
ENSMUSG00000094337	ENSG00000204478	0
ENSMUSG00000094337	ENSG00000232423	0
ENSMUSG00000094337	ENSG00000279804	0
ENSMUSG00000094337	ENSG00000187545	0
ENSMUSG00000094337	ENSG00000120952	0
ENSMUSG00000094337	ENSG00000237700	0
ENSMUSG00000094337	ENSG00000239810	0
ENSMUSG00000094337	ENSG00000280267	0
ENSMUSG00000094337	ENSG00000204505	0
ENSMUSG00000094337	ENSG00000279169	0
ENSMUSG00000094337	ENSG00000270601	0
ENSMUSG00000094337	ENSG00000243073	0
ENSMUSG00000094337	ENSG00000229571	0
ENSMUSG00000094337	ENSG00000204481	0
ENSMUSG00000094337	ENSG00000182330	0
ENSMUSG00000094337	ENSG00000204501	0
ENSMUSG00000094337	ENSG00000274764	0
ENSMUSG00000094337	ENSG00000204510	0
ENSMUSG00000079192		
ENSMUSG00000094054		
ENSMUSG00000096756	ENSG00000204479	0
ENSMUSG00000096756	ENSG00000116726	0
ENSMUSG00000096756	ENSG00000116721	0
ENSMUSG00000096756	ENSG00000204480	0
ENSMUSG00000096756	ENSG00000204478	0
ENSMUSG00000096756	ENSG00000232423	0
ENSMUSG00000096756	ENSG00000279804	0
ENSMUSG00000096756	ENSG00000187545	0
ENSMUSG00000096756	ENSG00000120952	0
ENSMUSG00000096756	ENSG00000237700	0
ENSMUSG00000096756	ENSG00000239810	0
ENSMUSG00000096756	ENSG00000280267	0
ENSMUSG00000096756	ENSG00000204505	0
ENSMUSG00000096756	ENSG00000279169	0
ENSMUSG00000096756	ENSG00000270601	0
ENSMUSG00000096756	ENSG00000243073	0
ENSMUSG00000096756	ENSG00000229571	0
ENSMUSG00000096756	ENSG00000204481	0
ENSMUSG00000096756	ENSG00000182330	0
ENSMUSG00000096756	ENSG00000204501	0
ENSMUSG00000096756	ENSG00000274764	0
ENSMUSG00000096756	ENSG00000204510	0
ENSMUSG00000095500		
ENSMUSG00000095672	ENSG00000135899	0
ENSMUSG00000095505	ENSG00000204479	0
ENSMUSG00000095505	ENSG00000116726	0
ENSMUSG00000095505	ENSG00000116721	0
ENSMUSG00000095505	ENSG00000204480	0
ENSMUSG00000095505	ENSG00000204478	0
ENSMUSG00000095505	ENSG00000232423	0
ENSMUSG00000095505	ENSG00000279804	0
ENSMUSG00000095505	ENSG00000187545	0
ENSMUSG00000095505	ENSG00000120952	0
ENSMUSG00000095505	ENSG00000237700	0
ENSMUSG00000095505	ENSG00000239810	0
ENSMUSG00000095505	ENSG00000280267	0
ENSMUSG00000095505	ENSG00000204505	0
ENSMUSG00000095505	ENSG00000279169	0
ENSMUSG00000095505	ENSG00000270601	0
ENSMUSG00000095505	ENSG00000243073	0
ENSMUSG00000095505	ENSG00000229571	0
ENSMUSG00000095505	ENSG00000204481	0
ENSMUSG00000095505	ENSG00000182330	0
ENSMUSG00000095505	ENSG00000204501	0
ENSMUSG00000095505	ENSG00000274764	0
ENSMUSG00000095505	ENSG00000204510	0
ENSMUSG00000079794		
ENSMUSG00000079190		
ENSMUSG00000095450		
ENSMUSG00000094474	ENSG00000204479	0
ENSMUSG00000094474	ENSG00000116726	0
ENSMUSG00000094474	ENSG00000116721	0
ENSMUSG00000094474	ENSG00000204480	0
ENSMUSG00000094474	ENSG00000204478	0
ENSMUSG00000094474	ENSG00000232423	0
ENSMUSG00000094474	ENSG00000279804	0
ENSMUSG00000094474	ENSG00000187545	0
ENSMUSG00000094474	ENSG00000120952	0
ENSMUSG00000094474	ENSG00000237700	0
ENSMUSG00000094474	ENSG00000239810	0
ENSMUSG00000094474	ENSG00000280267	0
ENSMUSG00000094474	ENSG00000204505	0
ENSMUSG00000094474	ENSG00000279169	0
ENSMUSG00000094474	ENSG00000270601	0
ENSMUSG00000094474	ENSG00000243073	0
ENSMUSG00000094474	ENSG00000229571	0
ENSMUSG00000094474	ENSG00000204481	0
ENSMUSG00000094474	ENSG00000182330	0
ENSMUSG00000094474	ENSG00000204501	0
ENSMUSG00000094474	ENSG00000274764	0
ENSMUSG00000094474	ENSG00000204510	0
ENSMUSG00000144201		
ENSMUSG00000094799	ENSG00000135899	0
ENSMUSG00000094728		
ENSMUSG00000095570	ENSG00000204479	0
ENSMUSG00000095570	ENSG00000116726	0
ENSMUSG00000095570	ENSG00000116721	0
ENSMUSG00000095570	ENSG00000204480	0
ENSMUSG00000095570	ENSG00000204478	0
ENSMUSG00000095570	ENSG00000232423	0
ENSMUSG00000095570	ENSG00000279804	0
ENSMUSG00000095570	ENSG00000187545	0
ENSMUSG00000095570	ENSG00000120952	0
ENSMUSG00000095570	ENSG00000237700	0
ENSMUSG00000095570	ENSG00000239810	0
ENSMUSG00000095570	ENSG00000280267	0
ENSMUSG00000095570	ENSG00000204505	0
ENSMUSG00000095570	ENSG00000279169	0
ENSMUSG00000095570	ENSG00000270601	0
ENSMUSG00000095570	ENSG00000243073	0
ENSMUSG00000095570	ENSG00000229571	0
ENSMUSG00000095570	ENSG00000204481	0
ENSMUSG00000095570	ENSG00000182330	0
ENSMUSG00000095570	ENSG00000204501	0
ENSMUSG00000095570	ENSG00000274764	0
ENSMUSG00000095570	ENSG00000204510	0
ENSMUSG00000062783		
ENSMUSG00000144196		
ENSMUSG00000094791	ENSG00000204479	0
ENSMUSG00000094791	ENSG00000116726	0
ENSMUSG00000094791	ENSG00000116721	0
ENSMUSG00000094791	ENSG00000204480	0
ENSMUSG00000094791	ENSG00000204478	0
ENSMUSG00000094791	ENSG00000232423	0
ENSMUSG00000094791	ENSG00000279804	0
ENSMUSG00000094791	ENSG00000187545	0
ENSMUSG00000094791	ENSG00000120952	0
ENSMUSG00000094791	ENSG00000237700	0
ENSMUSG00000094791	ENSG00000239810	0
ENSMUSG00000094791	ENSG00000280267	0
ENSMUSG00000094791	ENSG00000204505	0
ENSMUSG00000094791	ENSG00000279169	0
ENSMUSG00000094791	ENSG00000270601	0
ENSMUSG00000094791	ENSG00000243073	0
ENSMUSG00000094791	ENSG00000229571	0
ENSMUSG00000094791	ENSG00000204481	0
ENSMUSG00000094791	ENSG00000182330	0
ENSMUSG00000094791	ENSG00000204501	0
ENSMUSG00000094791	ENSG00000274764	0
ENSMUSG00000094791	ENSG00000204510	0
ENSMUSG00000094514	ENSG00000067066	0
ENSMUSG00000096728	ENSG00000204479	0
ENSMUSG00000096728	ENSG00000116726	0
ENSMUSG00000096728	ENSG00000116721	0
ENSMUSG00000096728	ENSG00000204480	0
ENSMUSG00000096728	ENSG00000204478	0
ENSMUSG00000096728	ENSG00000232423	0
ENSMUSG00000096728	ENSG00000279804	0
ENSMUSG00000096728	ENSG00000187545	0
ENSMUSG00000096728	ENSG00000120952	0
ENSMUSG00000096728	ENSG00000237700	0
ENSMUSG00000096728	ENSG00000239810	0
ENSMUSG00000096728	ENSG00000280267	0
ENSMUSG00000096728	ENSG00000204505	0
ENSMUSG00000096728	ENSG00000279169	0
ENSMUSG00000096728	ENSG00000270601	0
ENSMUSG00000096728	ENSG00000243073	0
ENSMUSG00000096728	ENSG00000229571	0
ENSMUSG00000096728	ENSG00000204481	0
ENSMUSG00000096728	ENSG00000182330	0
ENSMUSG00000096728	ENSG00000204501	0
ENSMUSG00000096728	ENSG00000274764	0
ENSMUSG00000096728	ENSG00000204510	0
ENSMUSG00000096808		
ENSMUSG00000096550	ENSG00000204479	0
ENSMUSG00000096550	ENSG00000116726	0
ENSMUSG00000096550	ENSG00000116721	0
ENSMUSG00000096550	ENSG00000204480	0
ENSMUSG00000096550	ENSG00000204478	0
ENSMUSG00000096550	ENSG00000232423	0
ENSMUSG00000096550	ENSG00000279804	0
ENSMUSG00000096550	ENSG00000187545	0
ENSMUSG00000096550	ENSG00000120952	0
ENSMUSG00000096550	ENSG00000237700	0
ENSMUSG00000096550	ENSG00000239810	0
ENSMUSG00000096550	ENSG00000280267	0
ENSMUSG00000096550	ENSG00000204505	0
ENSMUSG00000096550	ENSG00000279169	0
ENSMUSG00000096550	ENSG00000270601	0
ENSMUSG00000096550	ENSG00000243073	0
ENSMUSG00000096550	ENSG00000229571	0
ENSMUSG00000096550	ENSG00000204481	0
ENSMUSG00000096550	ENSG00000182330	0
ENSMUSG00000096550	ENSG00000204501	0
ENSMUSG00000096550	ENSG00000274764	0
ENSMUSG00000096550	ENSG00000204510	0
ENSMUSG00000144204		
ENSMUSG00000144203		
ENSMUSG00000144199		
ENSMUSG00000094172	ENSG00000204479	0
ENSMUSG00000094172	ENSG00000116726	0
ENSMUSG00000094172	ENSG00000116721	0
ENSMUSG00000094172	ENSG00000204480	0
ENSMUSG00000094172	ENSG00000204478	0
ENSMUSG00000094172	ENSG00000232423	0
ENSMUSG00000094172	ENSG00000279804	0
ENSMUSG00000094172	ENSG00000187545	0
ENSMUSG00000094172	ENSG00000120952	0
ENSMUSG00000094172	ENSG00000237700	0
ENSMUSG00000094172	ENSG00000239810	0
ENSMUSG00000094172	ENSG00000280267	0
ENSMUSG00000094172	ENSG00000204505	0
ENSMUSG00000094172	ENSG00000279169	0
ENSMUSG00000094172	ENSG00000270601	0
ENSMUSG00000094172	ENSG00000243073	0
ENSMUSG00000094172	ENSG00000229571	0
ENSMUSG00000094172	ENSG00000204481	0
ENSMUSG00000094172	ENSG00000182330	0
ENSMUSG00000094172	ENSG00000204501	0
ENSMUSG00000094172	ENSG00000274764	0
ENSMUSG00000094172	ENSG00000204510	0
ENSMUSG00000094887	ENSG00000204479	0
ENSMUSG00000094887	ENSG00000116726	0
ENSMUSG00000094887	ENSG00000116721	0
ENSMUSG00000094887	ENSG00000204480	0
ENSMUSG00000094887	ENSG00000204478	0
ENSMUSG00000094887	ENSG00000232423	0
ENSMUSG00000094887	ENSG00000279804	0
ENSMUSG00000094887	ENSG00000187545	0
ENSMUSG00000094887	ENSG00000120952	0
ENSMUSG00000094887	ENSG00000237700	0
ENSMUSG00000094887	ENSG00000239810	0
ENSMUSG00000094887	ENSG00000280267	0
ENSMUSG00000094887	ENSG00000204505	0
ENSMUSG00000094887	ENSG00000279169	0
ENSMUSG00000094887	ENSG00000270601	0
ENSMUSG00000094887	ENSG00000243073	0
ENSMUSG00000094887	ENSG00000229571	0
ENSMUSG00000094887	ENSG00000204481	0
ENSMUSG00000094887	ENSG00000182330	0
ENSMUSG00000094887	ENSG00000204501	0
ENSMUSG00000094887	ENSG00000274764	0
ENSMUSG00000094887	ENSG00000204510	0
ENSMUSG00000091585	ENSG00000204479	0
ENSMUSG00000091585	ENSG00000116726	0
ENSMUSG00000091585	ENSG00000116721	0
ENSMUSG00000091585	ENSG00000204480	0
ENSMUSG00000091585	ENSG00000204478	0
ENSMUSG00000091585	ENSG00000232423	0
ENSMUSG00000091585	ENSG00000279804	0
ENSMUSG00000091585	ENSG00000187545	0
ENSMUSG00000091585	ENSG00000120952	0
ENSMUSG00000091585	ENSG00000237700	0
ENSMUSG00000091585	ENSG00000239810	0
ENSMUSG00000091585	ENSG00000280267	0
ENSMUSG00000091585	ENSG00000204505	0
ENSMUSG00000091585	ENSG00000279169	0
ENSMUSG00000091585	ENSG00000270601	0
ENSMUSG00000091585	ENSG00000243073	0
ENSMUSG00000091585	ENSG00000229571	0
ENSMUSG00000091585	ENSG00000204481	0
ENSMUSG00000091585	ENSG00000182330	0
ENSMUSG00000091585	ENSG00000204501	0
ENSMUSG00000091585	ENSG00000274764	0
ENSMUSG00000091585	ENSG00000204510	0
ENSMUSG00000095763	ENSG00000204479	0
ENSMUSG00000095763	ENSG00000116726	0
ENSMUSG00000095763	ENSG00000116721	0
ENSMUSG00000095763	ENSG00000204480	0
ENSMUSG00000095763	ENSG00000204478	0
ENSMUSG00000095763	ENSG00000232423	0
ENSMUSG00000095763	ENSG00000279804	0
ENSMUSG00000095763	ENSG00000187545	0
ENSMUSG00000095763	ENSG00000120952	0
ENSMUSG00000095763	ENSG00000237700	0
ENSMUSG00000095763	ENSG00000239810	0
ENSMUSG00000095763	ENSG00000280267	0
ENSMUSG00000095763	ENSG00000204505	0
ENSMUSG00000095763	ENSG00000279169	0
ENSMUSG00000095763	ENSG00000270601	0
ENSMUSG00000095763	ENSG00000243073	0
ENSMUSG00000095763	ENSG00000229571	0
ENSMUSG00000095763	ENSG00000204481	0
ENSMUSG00000095763	ENSG00000182330	0
ENSMUSG00000095763	ENSG00000204501	0
ENSMUSG00000095763	ENSG00000274764	0
ENSMUSG00000095763	ENSG00000204510	0
ENSMUSG00000095523	ENSG00000204479	0
ENSMUSG00000095523	ENSG00000116726	0
ENSMUSG00000095523	ENSG00000116721	0
ENSMUSG00000095523	ENSG00000204480	0
ENSMUSG00000095523	ENSG00000204478	0
ENSMUSG00000095523	ENSG00000232423	0
ENSMUSG00000095523	ENSG00000279804	0
ENSMUSG00000095523	ENSG00000187545	0
ENSMUSG00000095523	ENSG00000120952	0
ENSMUSG00000095523	ENSG00000237700	0
ENSMUSG00000095523	ENSG00000239810	0
ENSMUSG00000095523	ENSG00000280267	0
ENSMUSG00000095523	ENSG00000204505	0
ENSMUSG00000095523	ENSG00000279169	0
ENSMUSG00000095523	ENSG00000270601	0
ENSMUSG00000095523	ENSG00000243073	0
ENSMUSG00000095523	ENSG00000229571	0
ENSMUSG00000095523	ENSG00000204481	0
ENSMUSG00000095523	ENSG00000182330	0
ENSMUSG00000095523	ENSG00000204501	0
ENSMUSG00000095523	ENSG00000274764	0
ENSMUSG00000095523	ENSG00000204510	0
ENSMUSG00000095475	ENSG00000204479	0
ENSMUSG00000095475	ENSG00000116726	0
ENSMUSG00000095475	ENSG00000116721	0
ENSMUSG00000095475	ENSG00000204480	0
ENSMUSG00000095475	ENSG00000204478	0
ENSMUSG00000095475	ENSG00000232423	0
ENSMUSG00000095475	ENSG00000279804	0
ENSMUSG00000095475	ENSG00000187545	0
ENSMUSG00000095475	ENSG00000120952	0
ENSMUSG00000095475	ENSG00000237700	0
ENSMUSG00000095475	ENSG00000239810	0
ENSMUSG00000095475	ENSG00000280267	0
ENSMUSG00000095475	ENSG00000204505	0
ENSMUSG00000095475	ENSG00000279169	0
ENSMUSG00000095475	ENSG00000270601	0
ENSMUSG00000095475	ENSG00000243073	0
ENSMUSG00000095475	ENSG00000229571	0
ENSMUSG00000095475	ENSG00000204481	0
ENSMUSG00000095475	ENSG00000182330	0
ENSMUSG00000095475	ENSG00000204501	0
ENSMUSG00000095475	ENSG00000274764	0
ENSMUSG00000095475	ENSG00000204510	0
ENSMUSG00000094855	ENSG00000204479	0
ENSMUSG00000094855	ENSG00000116726	0
ENSMUSG00000094855	ENSG00000116721	0
ENSMUSG00000094855	ENSG00000204480	0
ENSMUSG00000094855	ENSG00000204478	0
ENSMUSG00000094855	ENSG00000232423	0
ENSMUSG00000094855	ENSG00000279804	0
ENSMUSG00000094855	ENSG00000187545	0
ENSMUSG00000094855	ENSG00000120952	0
ENSMUSG00000094855	ENSG00000237700	0
ENSMUSG00000094855	ENSG00000239810	0
ENSMUSG00000094855	ENSG00000280267	0
ENSMUSG00000094855	ENSG00000204505	0
ENSMUSG00000094855	ENSG00000279169	0
ENSMUSG00000094855	ENSG00000270601	0
ENSMUSG00000094855	ENSG00000243073	0
ENSMUSG00000094855	ENSG00000229571	0
ENSMUSG00000094855	ENSG00000204481	0
ENSMUSG00000094855	ENSG00000182330	0
ENSMUSG00000094855	ENSG00000204501	0
ENSMUSG00000094855	ENSG00000274764	0
ENSMUSG00000094855	ENSG00000204510	0
ENSMUSG00000100384		
ENSMUSG00000100216		
ENSMUSG00000099641		
ENSMUSG00000095634	ENSG00000147059	0
ENSMUSG00000095634	ENSG00000186787	0
ENSMUSG00000101393		
ENSMUSG00000100885		
ENSMUSG00000101120		
ENSMUSG00000101216		
ENSMUSG00000100032	ENSG00000139351	0
ENSMUSG00000101080		
ENSMUSG00000094444		
ENSMUSG00000100308		
ENSMUSG00000101423		
ENSMUSG00000095626		
ENSMUSG00000101761		
ENSMUSG00000099493		
ENSMUSG00000096777		
ENSMUSG00000102119		
ENSMUSG00000100739		
ENSMUSG00000095345		
ENSMUSG00000100709		
ENSMUSG00000100976		
ENSMUSG00000100489		
ENSMUSG00000101239		
ENSMUSG00000100971		
ENSMUSG00000100509		
ENSMUSG00000095553		
ENSMUSG00000101099		
ENSMUSG00000101601		
ENSMUSG00000101516		
ENSMUSG00000101359		
ENSMUSG00000100790		
ENSMUSG00000101302		
ENSMUSG00000102125		
ENSMUSG00000094064		
ENSMUSG00000101421		
ENSMUSG00000099461		
ENSMUSG00000101706		
ENSMUSG00000096532		
ENSMUSG00000101627		
ENSMUSG00000101681		
ENSMUSG00000101870		
ENSMUSG00000101472		
ENSMUSG00000101407		
ENSMUSG00000099500		
ENSMUSG00000100097		
