Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Gene type
ENSMUSG00000001700	ENSMUSG00000001700.11	ENSMUST00000235794	ENSMUST00000235794.2	protein_coding
ENSMUSG00000001700	ENSMUSG00000001700.11	ENSMUST00000237716	ENSMUST00000237716.2	protein_coding
ENSMUSG00000001700	ENSMUSG00000001700.11	ENSMUST00000070166	ENSMUST00000070166.6	protein_coding
ENSMUSG00000022816	ENSMUSG00000022816.12	ENSMUST00000114763	ENSMUST00000114763.3	protein_coding
ENSMUSG00000022816	ENSMUSG00000022816.12	ENSMUST00000152579	ENSMUST00000152579.8	protein_coding
ENSMUSG00000022816	ENSMUSG00000022816.12	ENSMUST00000125279	ENSMUST00000125279.2	protein_coding
ENSMUSG00000022816	ENSMUSG00000022816.12	ENSMUST00000135668	ENSMUST00000135668.8	protein_coding
ENSMUSG00000022816	ENSMUSG00000022816.12	ENSMUST00000127495	ENSMUST00000127495.2	protein_coding
ENSMUSG00000022816	ENSMUSG00000022816.12	ENSMUST00000123077	ENSMUST00000123077.2	protein_coding
ENSMUSG00000020607	ENSMUSG00000020607.8	ENSMUST00000020926	ENSMUST00000020926.8	protein_coding
ENSMUSG00000020607	ENSMUSG00000020607.8	ENSMUST00000221405	ENSMUST00000221405.2	protein_coding
ENSMUSG00000024331	ENSMUSG00000024331.12	ENSMUST00000075214	ENSMUST00000075214.9	protein_coding
ENSMUSG00000024331	ENSMUSG00000024331.12	ENSMUST00000039247	ENSMUST00000039247.11	protein_coding
ENSMUSG00000024331	ENSMUSG00000024331.12	ENSMUST00000155407	ENSMUST00000155407.2	protein_coding
ENSMUSG00000024331	ENSMUSG00000024331.12	ENSMUST00000128464	ENSMUST00000128464.2	protein_coding
ENSMUSG00000022812	ENSMUSG00000022812.15	ENSMUST00000023507	ENSMUST00000023507.13	protein_coding
ENSMUSG00000022812	ENSMUSG00000022812.15	ENSMUST00000114750	ENSMUST00000114750.2	protein_coding
ENSMUSG00000022812	ENSMUSG00000022812.15	ENSMUST00000134870	ENSMUST00000134870.8	protein_coding
ENSMUSG00000022812	ENSMUSG00000022812.15	ENSMUST00000132057	ENSMUST00000132057.2	protein_coding
ENSMUSG00000022812	ENSMUSG00000022812.15	ENSMUST00000231437	ENSMUST00000231437.2	protein_coding
ENSMUSG00000024897	ENSMUSG00000024897.10	ENSMUST00000025830	ENSMUST00000025830.9	protein_coding
ENSMUSG00000024897	ENSMUSG00000024897.10	ENSMUST00000237688	ENSMUST00000237688.2	protein_coding
ENSMUSG00000020601	ENSMUSG00000020601.9	ENSMUST00000020922	ENSMUST00000020922.8	protein_coding
ENSMUSG00000020601	ENSMUSG00000020601.9	ENSMUST00000221518	ENSMUST00000221518.2	protein_coding
ENSMUSG00000020601	ENSMUSG00000020601.9	ENSMUST00000221215	ENSMUST00000221215.2	protein_coding
ENSMUSG00000020601	ENSMUSG00000020601.9	ENSMUST00000151100	ENSMUST00000151100.2	protein_coding
ENSMUSG00000022678	ENSMUSG00000022678.17	ENSMUST00000023359	ENSMUST00000023359.13	protein_coding
ENSMUSG00000022678	ENSMUSG00000022678.17	ENSMUST00000117958	ENSMUST00000117958.8	protein_coding
ENSMUSG00000022678	ENSMUSG00000022678.17	ENSMUST00000132316	ENSMUST00000132316.8	protein_coding
ENSMUSG00000022678	ENSMUSG00000022678.17	ENSMUST00000133249	ENSMUST00000133249.8	protein_coding
ENSMUSG00000022678	ENSMUSG00000022678.17	ENSMUST00000115795	ENSMUST00000115795.9	protein_coding
ENSMUSG00000022678	ENSMUSG00000022678.17	ENSMUST00000127801	ENSMUST00000127801.2	protein_coding
ENSMUSG00000022678	ENSMUSG00000022678.17	ENSMUST00000156041	ENSMUST00000156041.2	protein_coding
ENSMUSG00000022678	ENSMUSG00000022678.17	ENSMUST00000149232	ENSMUST00000149232.2	protein_coding
ENSMUSG00000024812	ENSMUSG00000024812.12	ENSMUST00000233027	ENSMUST00000233027.2	protein_coding
ENSMUSG00000024812	ENSMUSG00000024812.12	ENSMUST00000233658	ENSMUST00000233658.3	protein_coding
ENSMUSG00000024812	ENSMUSG00000024812.12	ENSMUST00000232956	ENSMUST00000232956.2	protein_coding
ENSMUSG00000024812	ENSMUSG00000024812.12	ENSMUST00000236570	ENSMUST00000236570.2	protein_coding
ENSMUSG00000024812	ENSMUSG00000024812.12	ENSMUST00000237937	ENSMUST00000237937.2	protein_coding
ENSMUSG00000024812	ENSMUSG00000024812.12	ENSMUST00000237550	ENSMUST00000237550.2	protein_coding
ENSMUSG00000024812	ENSMUSG00000024812.12	ENSMUST00000099558	ENSMUST00000099558.5	protein_coding
ENSMUSG00000021242	ENSMUSG00000021242.10	ENSMUST00000021668	ENSMUST00000021668.10	protein_coding
ENSMUSG00000021242	ENSMUSG00000021242.10	ENSMUST00000223200	ENSMUST00000223200.2	protein_coding
ENSMUSG00000021242	ENSMUSG00000021242.10	ENSMUST00000221056	ENSMUST00000221056.2	protein_coding
ENSMUSG00000021241	ENSMUSG00000021241.8	ENSMUST00000021667	ENSMUST00000021667.7	protein_coding
ENSMUSG00000021241	ENSMUSG00000021241.8	ENSMUST00000222166	ENSMUST00000222166.2	protein_coding
ENSMUSG00000021241	ENSMUSG00000021241.8	ENSMUST00000222136	ENSMUST00000222136.2	protein_coding
ENSMUSG00000021241	ENSMUSG00000021241.8	ENSMUST00000222449	ENSMUST00000222449.2	protein_coding
ENSMUSG00000021241	ENSMUSG00000021241.8	ENSMUST00000223089	ENSMUST00000223089.2	protein_coding
ENSMUSG00000021241	ENSMUSG00000021241.8	ENSMUST00000222982	ENSMUST00000222982.2	protein_coding
ENSMUSG00000021241	ENSMUSG00000021241.8	ENSMUST00000222818	ENSMUST00000222818.2	protein_coding
ENSMUSG00000021241	ENSMUSG00000021241.8	ENSMUST00000222022	ENSMUST00000222022.2	protein_coding
ENSMUSG00000021241	ENSMUSG00000021241.8	ENSMUST00000220726	ENSMUST00000220726.2	protein_coding
ENSMUSG00000002489	ENSMUSG00000002489.17	ENSMUST00000114122	ENSMUST00000114122.8	protein_coding
ENSMUSG00000002489	ENSMUSG00000002489.17	ENSMUST00000163370	ENSMUST00000163370.8	protein_coding
ENSMUSG00000002489	ENSMUSG00000002489.17	ENSMUST00000114124	ENSMUST00000114124.9	protein_coding
ENSMUSG00000002489	ENSMUSG00000002489.17	ENSMUST00000002588	ENSMUST00000002588.11	protein_coding
ENSMUSG00000002489	ENSMUSG00000002489.17	ENSMUST00000144691	ENSMUST00000144691.9	protein_coding
ENSMUSG00000002489	ENSMUSG00000002489.17	ENSMUST00000164263	ENSMUST00000164263.9	protein_coding
ENSMUSG00000002489	ENSMUSG00000002489.17	ENSMUST00000089084	ENSMUST00000089084.12	protein_coding
ENSMUSG00000002489	ENSMUSG00000002489.17	ENSMUST00000178095	ENSMUST00000178095.2	protein_coding
ENSMUSG00000002489	ENSMUSG00000002489.17	ENSMUST00000134021	ENSMUST00000134021.2	protein_coding
ENSMUSG00000002489	ENSMUSG00000002489.17	ENSMUST00000151655	ENSMUST00000151655.8	protein_coding
ENSMUSG00000002489	ENSMUSG00000002489.17	ENSMUST00000130951	ENSMUST00000130951.8	protein_coding
ENSMUSG00000002489	ENSMUSG00000002489.17	ENSMUST00000139544	ENSMUST00000139544.2	protein_coding
ENSMUSG00000002489	ENSMUSG00000002489.17	ENSMUST00000124433	ENSMUST00000124433.8	protein_coding
ENSMUSG00000002489	ENSMUSG00000002489.17	ENSMUST00000155915	ENSMUST00000155915.2	protein_coding
ENSMUSG00000002489	ENSMUSG00000002489.17	ENSMUST00000136760	ENSMUST00000136760.2	protein_coding
ENSMUSG00000024867	ENSMUSG00000024867.15	ENSMUST00000025800	ENSMUST00000025800.15	protein_coding
ENSMUSG00000024867	ENSMUSG00000024867.15	ENSMUST00000112673	ENSMUST00000112673.9	protein_coding
ENSMUSG00000024867	ENSMUSG00000024867.15	ENSMUST00000156814	ENSMUST00000156814.8	protein_coding
ENSMUSG00000024867	ENSMUSG00000024867.15	ENSMUST00000145829	ENSMUST00000145829.2	protein_coding
ENSMUSG00000024867	ENSMUSG00000024867.15	ENSMUST00000134360	ENSMUST00000134360.2	protein_coding
ENSMUSG00000021010	ENSMUSG00000021010.10	ENSMUST00000223358	ENSMUST00000223358.3	protein_coding
ENSMUSG00000021010	ENSMUSG00000021010.10	ENSMUST00000101432	ENSMUST00000101432.3	protein_coding
ENSMUSG00000021010	ENSMUSG00000021010.10	ENSMUST00000220986	ENSMUST00000220986.2	protein_coding
ENSMUSG00000021010	ENSMUSG00000021010.10	ENSMUST00000223057	ENSMUST00000223057.2	protein_coding
ENSMUSG00000002020	ENSMUSG00000002020.16	ENSMUST00000002073	ENSMUST00000002073.13	protein_coding
ENSMUSG00000002020	ENSMUSG00000002020.16	ENSMUST00000163189	ENSMUST00000163189.8	protein_coding
ENSMUSG00000002020	ENSMUSG00000002020.16	ENSMUST00000166383	ENSMUST00000166383.2	protein_coding
ENSMUSG00000002020	ENSMUSG00000002020.16	ENSMUST00000163214	ENSMUST00000163214.2	protein_coding
ENSMUSG00000002020	ENSMUSG00000002020.16	ENSMUST00000165141	ENSMUST00000165141.2	protein_coding
ENSMUSG00000002020	ENSMUSG00000002020.16	ENSMUST00000168699	ENSMUST00000168699.2	protein_coding
ENSMUSG00000002020	ENSMUSG00000002020.16	ENSMUST00000110254	ENSMUST00000110254.9	protein_coding
ENSMUSG00000021359	ENSMUSG00000021359.17	ENSMUST00000021787	ENSMUST00000021787.7	protein_coding
ENSMUSG00000021359	ENSMUSG00000021359.17	ENSMUST00000224319	ENSMUST00000224319.2	protein_coding
ENSMUSG00000021359	ENSMUSG00000021359.17	ENSMUST00000223869	ENSMUST00000223869.2	protein_coding
ENSMUSG00000021359	ENSMUSG00000021359.17	ENSMUST00000225180	ENSMUST00000225180.2	protein_coding
ENSMUSG00000021359	ENSMUSG00000021359.17	ENSMUST00000224999	ENSMUST00000224999.2	protein_coding
ENSMUSG00000021359	ENSMUSG00000021359.17	ENSMUST00000224665	ENSMUST00000224665.2	protein_coding
ENSMUSG00000021359	ENSMUSG00000021359.17	ENSMUST00000223908	ENSMUST00000223908.2	protein_coding
ENSMUSG00000021359	ENSMUSG00000021359.17	ENSMUST00000224700	ENSMUST00000224700.2	protein_coding
ENSMUSG00000021359	ENSMUSG00000021359.17	ENSMUST00000110193	ENSMUST00000110193.9	protein_coding
ENSMUSG00000022982	ENSMUSG00000022982.11	ENSMUST00000023707	ENSMUST00000023707.11	protein_coding
ENSMUSG00000022982	ENSMUSG00000022982.11	ENSMUST00000232505	ENSMUST00000232505.2	protein_coding
ENSMUSG00000022983	ENSMUSG00000022983.17	ENSMUST00000232000	ENSMUST00000232000.2	protein_coding
ENSMUSG00000022983	ENSMUSG00000022983.17	ENSMUST00000163419	ENSMUST00000163419.9	protein_coding
ENSMUSG00000022983	ENSMUSG00000022983.17	ENSMUST00000232371	ENSMUST00000232371.2	protein_coding
ENSMUSG00000022983	ENSMUSG00000022983.17	ENSMUST00000039280	ENSMUST00000039280.9	protein_coding
ENSMUSG00000022983	ENSMUSG00000022983.17	ENSMUST00000231594	ENSMUST00000231594.2	protein_coding
ENSMUSG00000022983	ENSMUSG00000022983.17	ENSMUST00000231443	ENSMUST00000231443.2	protein_coding
ENSMUSG00000022983	ENSMUSG00000022983.17	ENSMUST00000231572	ENSMUST00000231572.2	protein_coding
ENSMUSG00000022983	ENSMUSG00000022983.17	ENSMUST00000231776	ENSMUST00000231776.2	protein_coding
ENSMUSG00000017843	ENSMUSG00000017843.15	ENSMUST00000222276	ENSMUST00000222276.2	protein_coding
ENSMUSG00000017843	ENSMUSG00000017843.15	ENSMUST00000220509	ENSMUST00000220509.2	protein_coding
ENSMUSG00000017843	ENSMUSG00000017843.15	ENSMUST00000223168	ENSMUST00000223168.2	protein_coding
ENSMUSG00000017843	ENSMUSG00000017843.15	ENSMUST00000221715	ENSMUST00000221715.2	protein_coding
ENSMUSG00000017843	ENSMUSG00000017843.15	ENSMUST00000109832	ENSMUST00000109832.3	protein_coding
ENSMUSG00000017843	ENSMUSG00000017843.15	ENSMUST00000084985	ENSMUST00000084985.11	protein_coding
ENSMUSG00000017843	ENSMUSG00000017843.15	ENSMUST00000221074	ENSMUST00000221074.2	protein_coding
ENSMUSG00000001804	ENSMUSG00000001804.10	ENSMUST00000019426	ENSMUST00000019426.5	protein_coding
ENSMUSG00000008301	ENSMUSG00000008301.12	ENSMUST00000130163	ENSMUST00000130163.8	protein_coding
ENSMUSG00000008301	ENSMUSG00000008301.12	ENSMUST00000132628	ENSMUST00000132628.8	protein_coding
ENSMUSG00000008301	ENSMUSG00000008301.12	ENSMUST00000008445	ENSMUST00000008445.7	protein_coding
ENSMUSG00000022978	ENSMUSG00000022978.12	ENSMUST00000099554	ENSMUST00000099554.5	protein_coding
ENSMUSG00000022978	ENSMUSG00000022978.12	ENSMUST00000129171	ENSMUST00000129171.2	protein_coding
ENSMUSG00000022978	ENSMUSG00000022978.12	ENSMUST00000147546	ENSMUST00000147546.2	protein_coding
ENSMUSG00000024590	ENSMUSG00000024590.9	ENSMUST00000025486	ENSMUST00000025486.9	protein_coding
ENSMUSG00000024590	ENSMUSG00000024590.9	ENSMUST00000128651	ENSMUST00000128651.2	protein_coding
ENSMUSG00000021322	ENSMUSG00000021322.9	ENSMUST00000021757	ENSMUST00000021757.5	protein_coding
ENSMUSG00000021322	ENSMUSG00000021322.9	ENSMUST00000223364	ENSMUST00000223364.2	protein_coding
ENSMUSG00000021322	ENSMUSG00000021322.9	ENSMUST00000221982	ENSMUST00000221982.2	protein_coding
ENSMUSG00000021322	ENSMUSG00000021322.9	ENSMUST00000222135	ENSMUST00000222135.2	protein_coding
ENSMUSG00000018830	ENSMUSG00000018830.11	ENSMUST00000090287	ENSMUST00000090287.5	protein_coding
ENSMUSG00000018830	ENSMUSG00000018830.11	ENSMUST00000231567	ENSMUST00000231567.2	protein_coding
ENSMUSG00000018830	ENSMUSG00000018830.11	ENSMUST00000230397	ENSMUST00000230397.2	protein_coding
ENSMUSG00000018830	ENSMUSG00000018830.11	ENSMUST00000230643	ENSMUST00000230643.2	protein_coding
ENSMUSG00000024592	ENSMUSG00000024592.16	ENSMUST00000025488	ENSMUST00000025488.15	protein_coding
ENSMUSG00000024592	ENSMUSG00000024592.16	ENSMUST00000139243	ENSMUST00000139243.9	protein_coding
ENSMUSG00000024592	ENSMUSG00000024592.16	ENSMUST00000152087	ENSMUST00000152087.3	protein_coding
ENSMUSG00000021666	ENSMUSG00000021666.17	ENSMUST00000160139	ENSMUST00000160139.8	protein_coding
ENSMUSG00000021666	ENSMUSG00000021666.17	ENSMUST00000042084	ENSMUST00000042084.13	protein_coding
ENSMUSG00000021666	ENSMUSG00000021666.17	ENSMUST00000161843	ENSMUST00000161843.8	protein_coding
ENSMUSG00000021666	ENSMUSG00000021666.17	ENSMUST00000161639	ENSMUST00000161639.8	protein_coding
ENSMUSG00000021666	ENSMUSG00000021666.17	ENSMUST00000161913	ENSMUST00000161913.8	protein_coding
ENSMUSG00000021666	ENSMUSG00000021666.17	ENSMUST00000161518	ENSMUST00000161518.2	protein_coding
ENSMUSG00000021666	ENSMUSG00000021666.17	ENSMUST00000161825	ENSMUST00000161825.8	protein_coding
ENSMUSG00000021666	ENSMUSG00000021666.17	ENSMUST00000161929	ENSMUST00000161929.8	protein_coding
ENSMUSG00000021666	ENSMUSG00000021666.17	ENSMUST00000022170	ENSMUST00000022170.8	protein_coding
ENSMUSG00000021666	ENSMUSG00000021666.17	ENSMUST00000160981	ENSMUST00000160981.2	protein_coding
ENSMUSG00000021666	ENSMUSG00000021666.17	ENSMUST00000160989	ENSMUST00000160989.8	protein_coding
ENSMUSG00000021666	ENSMUSG00000021666.17	ENSMUST00000159321	ENSMUST00000159321.2	protein_coding
ENSMUSG00000024878	ENSMUSG00000024878.10	ENSMUST00000025815	ENSMUST00000025815.10	protein_coding
ENSMUSG00000024878	ENSMUSG00000024878.10	ENSMUST00000237315	ENSMUST00000237315.2	protein_coding
ENSMUSG00000024878	ENSMUSG00000024878.10	ENSMUST00000236250	ENSMUST00000236250.2	protein_coding
ENSMUSG00000024878	ENSMUSG00000024878.10	ENSMUST00000236790	ENSMUST00000236790.2	protein_coding
ENSMUSG00000024878	ENSMUSG00000024878.10	ENSMUST00000235225	ENSMUST00000235225.2	protein_coding
ENSMUSG00000018707	ENSMUSG00000018707.14	ENSMUST00000018851	ENSMUST00000018851.14	protein_coding
ENSMUSG00000018707	ENSMUSG00000018707.14	ENSMUST00000172218	ENSMUST00000172218.2	protein_coding
ENSMUSG00000018707	ENSMUSG00000018707.14	ENSMUST00000167395	ENSMUST00000167395.2	protein_coding
ENSMUSG00000018707	ENSMUSG00000018707.14	ENSMUST00000166185	ENSMUST00000166185.2	protein_coding
ENSMUSG00000018707	ENSMUSG00000018707.14	ENSMUST00000107660	ENSMUST00000107660.4	protein_coding
ENSMUSG00000018707	ENSMUSG00000018707.14	ENSMUST00000171535	ENSMUST00000171535.2	protein_coding
ENSMUSG00000018707	ENSMUSG00000018707.14	ENSMUST00000170024	ENSMUST00000170024.2	protein_coding
ENSMUSG00000018707	ENSMUSG00000018707.14	ENSMUST00000166323	ENSMUST00000166323.2	protein_coding
ENSMUSG00000024593	ENSMUSG00000024593.16	ENSMUST00000075770	ENSMUST00000075770.13	protein_coding
ENSMUSG00000024593	ENSMUSG00000024593.16	ENSMUST00000139892	ENSMUST00000139892.2	protein_coding
ENSMUSG00000025076	ENSMUSG00000025076.13	ENSMUST00000026062	ENSMUST00000026062.10	protein_coding
ENSMUSG00000025076	ENSMUSG00000025076.13	ENSMUST00000235178	ENSMUST00000235178.3	protein_coding
ENSMUSG00000025076	ENSMUSG00000025076.13	ENSMUST00000235386	ENSMUST00000235386.2	protein_coding
ENSMUSG00000025076	ENSMUSG00000025076.13	ENSMUST00000238892	ENSMUST00000238892.2	protein_coding
ENSMUSG00000025076	ENSMUSG00000025076.13	ENSMUST00000237055	ENSMUST00000237055.3	protein_coding
ENSMUSG00000025076	ENSMUSG00000025076.13	ENSMUST00000237765	ENSMUST00000237765.2	protein_coding
ENSMUSG00000021243	ENSMUSG00000021243.15	ENSMUST00000021669	ENSMUST00000021669.15	protein_coding
ENSMUSG00000021243	ENSMUSG00000021243.15	ENSMUST00000171040	ENSMUST00000171040.2	protein_coding
ENSMUSG00000021243	ENSMUSG00000021243.15	ENSMUST00000172241	ENSMUST00000172241.2	protein_coding
ENSMUSG00000005864	ENSMUSG00000005864.8	ENSMUST00000006020	ENSMUST00000006020.8	protein_coding
ENSMUSG00000005864	ENSMUSG00000005864.8	ENSMUST00000145642	ENSMUST00000145642.2	protein_coding
ENSMUSG00000021270	ENSMUSG00000021270.14	ENSMUST00000094361	ENSMUST00000094361.11	protein_coding
ENSMUSG00000021270	ENSMUSG00000021270.14	ENSMUST00000021698	ENSMUST00000021698.13	protein_coding
ENSMUSG00000021270	ENSMUSG00000021270.14	ENSMUST00000129005	ENSMUST00000129005.2	protein_coding
ENSMUSG00000021270	ENSMUSG00000021270.14	ENSMUST00000134967	ENSMUST00000134967.2	protein_coding
ENSMUSG00000021270	ENSMUSG00000021270.14	ENSMUST00000145255	ENSMUST00000145255.2	protein_coding
ENSMUSG00000021270	ENSMUSG00000021270.14	ENSMUST00000155242	ENSMUST00000155242.8	protein_coding
ENSMUSG00000021270	ENSMUSG00000021270.14	ENSMUST00000124156	ENSMUST00000124156.8	protein_coding
ENSMUSG00000021270	ENSMUSG00000021270.14	ENSMUST00000149189	ENSMUST00000149189.2	protein_coding
ENSMUSG00000024837	ENSMUSG00000024837.16	ENSMUST00000025755	ENSMUST00000025755.11	protein_coding
ENSMUSG00000024837	ENSMUSG00000024837.16	ENSMUST00000087525	ENSMUST00000087525.5	protein_coding
ENSMUSG00000024837	ENSMUSG00000024837.16	ENSMUST00000160814	ENSMUST00000160814.2	protein_coding
ENSMUSG00000024317	ENSMUSG00000024317.16	ENSMUST00000234107	ENSMUST00000234107.2	protein_coding
ENSMUSG00000024317	ENSMUSG00000024317.16	ENSMUST00000234536	ENSMUST00000234536.2	protein_coding
ENSMUSG00000024317	ENSMUSG00000024317.16	ENSMUST00000052396	ENSMUST00000052396.7	protein_coding
ENSMUSG00000024317	ENSMUSG00000024317.16	ENSMUST00000234545	ENSMUST00000234545.2	protein_coding
ENSMUSG00000024317	ENSMUSG00000024317.16	ENSMUST00000234169	ENSMUST00000234169.2	protein_coding
ENSMUSG00000024317	ENSMUSG00000024317.16	ENSMUST00000072847	ENSMUST00000072847.12	protein_coding
ENSMUSG00000022677	ENSMUSG00000022677.16	ENSMUST00000120707	ENSMUST00000120707.2	protein_coding
ENSMUSG00000022677	ENSMUSG00000022677.16	ENSMUST00000023357	ENSMUST00000023357.14	protein_coding
ENSMUSG00000022677	ENSMUSG00000022677.16	ENSMUST00000230495	ENSMUST00000230495.2	protein_coding
ENSMUSG00000022677	ENSMUSG00000022677.16	ENSMUST00000148278	ENSMUST00000148278.2	protein_coding
ENSMUSG00000022677	ENSMUSG00000022677.16	ENSMUST00000126427	ENSMUST00000126427.3	protein_coding
ENSMUSG00000025078	ENSMUSG00000025078.10	ENSMUST00000071423	ENSMUST00000071423.7	protein_coding
ENSMUSG00000025078	ENSMUSG00000025078.10	ENSMUST00000236979	ENSMUST00000236979.2	protein_coding
ENSMUSG00000000103	ENSMUSG00000000103.13	ENSMUST00000187148	ENSMUST00000187148.7	protein_coding
ENSMUSG00000000103	ENSMUSG00000000103.13	ENSMUST00000115891	ENSMUST00000115891.2	protein_coding
ENSMUSG00000020593	ENSMUSG00000020593.17	ENSMUST00000239165	ENSMUST00000239165.2	protein_coding
ENSMUSG00000020593	ENSMUSG00000020593.17	ENSMUST00000111067	ENSMUST00000111067.10	protein_coding
ENSMUSG00000020593	ENSMUSG00000020593.17	ENSMUST00000238839	ENSMUST00000238839.2	protein_coding
ENSMUSG00000020593	ENSMUSG00000020593.17	ENSMUST00000221230	ENSMUST00000221230.2	protein_coding
ENSMUSG00000020593	ENSMUSG00000020593.17	ENSMUST00000222989	ENSMUST00000222989.2	protein_coding
ENSMUSG00000020593	ENSMUSG00000020593.17	ENSMUST00000221297	ENSMUST00000221297.2	protein_coding
ENSMUSG00000020593	ENSMUSG00000020593.17	ENSMUST00000221789	ENSMUST00000221789.2	protein_coding
ENSMUSG00000020593	ENSMUSG00000020593.17	ENSMUST00000223129	ENSMUST00000223129.2	protein_coding
ENSMUSG00000020593	ENSMUSG00000020593.17	ENSMUST00000221146	ENSMUST00000221146.2	protein_coding
ENSMUSG00000020593	ENSMUSG00000020593.17	ENSMUST00000067124	ENSMUST00000067124.6	protein_coding
ENSMUSG00000024313	ENSMUSG00000024313.9	ENSMUST00000234367	ENSMUST00000234367.2	protein_coding
ENSMUSG00000024313	ENSMUSG00000024313.9	ENSMUST00000235102	ENSMUST00000235102.2	protein_coding
ENSMUSG00000024313	ENSMUSG00000024313.9	ENSMUST00000082235	ENSMUST00000082235.5	protein_coding
ENSMUSG00000021665	ENSMUSG00000021665.10	ENSMUST00000022169	ENSMUST00000022169.10	protein_coding
ENSMUSG00000021665	ENSMUSG00000021665.10	ENSMUST00000222700	ENSMUST00000222700.2	protein_coding
ENSMUSG00000022155	ENSMUSG00000022155.10	ENSMUST00000226277	ENSMUST00000226277.2	protein_coding
ENSMUSG00000022155	ENSMUSG00000022155.10	ENSMUST00000045736	ENSMUST00000045736.9	protein_coding
ENSMUSG00000022155	ENSMUSG00000022155.10	ENSMUST00000228458	ENSMUST00000228458.2	protein_coding
ENSMUSG00000022155	ENSMUSG00000022155.10	ENSMUST00000226849	ENSMUST00000226849.2	protein_coding
ENSMUSG00000024598	ENSMUSG00000024598.10	ENSMUST00000025497	ENSMUST00000025497.8	protein_coding
ENSMUSG00000024598	ENSMUSG00000024598.10	ENSMUST00000236932	ENSMUST00000236932.2	protein_coding
ENSMUSG00000024598	ENSMUSG00000024598.10	ENSMUST00000235281	ENSMUST00000235281.2	protein_coding
ENSMUSG00000024598	ENSMUSG00000024598.10	ENSMUST00000235417	ENSMUST00000235417.2	protein_coding
ENSMUSG00000024598	ENSMUSG00000024598.10	ENSMUST00000237293	ENSMUST00000237293.2	protein_coding
ENSMUSG00000024598	ENSMUSG00000024598.10	ENSMUST00000235779	ENSMUST00000235779.2	protein_coding
ENSMUSG00000024855	ENSMUSG00000024855.11	ENSMUST00000025786	ENSMUST00000025786.9	protein_coding
ENSMUSG00000024855	ENSMUSG00000024855.11	ENSMUST00000236775	ENSMUST00000236775.2	protein_coding
ENSMUSG00000024855	ENSMUSG00000024855.11	ENSMUST00000235130	ENSMUST00000235130.2	protein_coding
ENSMUSG00000024855	ENSMUSG00000024855.11	ENSMUST00000236624	ENSMUST00000236624.2	protein_coding
ENSMUSG00000024855	ENSMUSG00000024855.11	ENSMUST00000237967	ENSMUST00000237967.2	protein_coding
ENSMUSG00000024855	ENSMUSG00000024855.11	ENSMUST00000237463	ENSMUST00000237463.2	protein_coding
ENSMUSG00000024855	ENSMUSG00000024855.11	ENSMUST00000236470	ENSMUST00000236470.2	protein_coding
ENSMUSG00000022972	ENSMUSG00000022972.11	ENSMUST00000023694	ENSMUST00000023694.11	protein_coding
