




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (5140)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
gluconeogenesis (GO:0006094)	41	24	10.24	+	2.34	4.98E-06	1.93E-04
sphingoid metabolic process (GO:0046519)	24	14	5.99	+	2.34	5.14E-04	1.04E-02
regulation of plasma lipoprotein particle levels (GO:0097006)	67	39	16.73	+	2.33	1.15E-08	8.06E-07
ATP biosynthetic process (GO:0006754)	86	50	21.48	+	2.33	7.81E-11	7.37E-09
viral protein processing (GO:0019082)	31	18	7.74	+	2.32	8.91E-05	2.42E-03
GMP metabolic process (GO:0046037)	26	15	6.49	+	2.31	3.82E-04	8.13E-03
response to muscle stretch (GO:0035994)	26	15	6.49	+	2.31	3.82E-04	8.12E-03
C4-dicarboxylate transport (GO:0015740)	26	15	6.49	+	2.31	3.82E-04	8.11E-03
monosaccharide biosynthetic process (GO:0046364)	47	27	11.74	+	2.30	3.47E-06	1.41E-04
plasma lipoprotein particle organization (GO:0071827)	54	31	13.49	+	2.30	5.65E-07	2.67E-05
positive regulation of spindle checkpoint (GO:0090232)	21	12	5.24	+	2.29	1.66E-03	2.60E-02
musculoskeletal movement (GO:0050881)	49	28	12.24	+	2.29	2.35E-06	9.89E-05
negative regulation of T cell apoptotic process (GO:0070233)	21	12	5.24	+	2.29	1.66E-03	2.60E-02
response to increased oxygen levels (GO:0036296)	28	16	6.99	+	2.29	2.84E-04	6.31E-03
positive T cell selection (GO:0043368)	35	20	8.74	+	2.29	4.98E-05	1.45E-03
branched-chain amino acid metabolic process (GO:0009081)	28	16	6.99	+	2.29	2.84E-04	6.30E-03
high-density lipoprotein particle remodeling (GO:0034375)	21	12	5.24	+	2.29	1.66E-03	2.60E-02
multicellular organismal movement (GO:0050879)	51	29	12.74	+	2.28	1.62E-06	7.09E-05
mitochondrion transport along microtubule (GO:0047497)	30	17	7.49	+	2.27	2.11E-04	4.92E-03
establishment of mitochondrion localization, microtubule-mediated (GO:0034643)	30	17	7.49	+	2.27	2.11E-04	4.91E-03
regulation of attachment of spindle microtubules to kinetochore (GO:0051988)	23	13	5.74	+	2.26	1.22E-03	2.06E-02
branched-chain amino acid catabolic process (GO:0009083)	23	13	5.74	+	2.26	1.22E-03	2.06E-02
diol biosynthetic process (GO:0034312)	23	13	5.74	+	2.26	1.22E-03	2.05E-02
protein-containing complex remodeling (GO:0034367)	39	22	9.74	+	2.26	4.11E-05	1.24E-03
diol metabolic process (GO:0034311)	32	18	7.99	+	2.25	2.57E-04	5.80E-03
purine nucleoside triphosphate biosynthetic process (GO:0009145)	98	55	24.48	+	2.25	6.42E-11	6.14E-09
NAD+ metabolic process (GO:0019674)	41	23	10.24	+	2.25	2.81E-05	8.87E-04
lipid oxidation (GO:0034440)	91	51	22.73	+	2.24	3.76E-10	3.27E-08
hyperosmotic response (GO:0006972)	25	14	6.24	+	2.24	9.00E-04	1.67E-02
long-chain fatty-acyl-CoA metabolic process (GO:0035336)	25	14	6.24	+	2.24	9.00E-04	1.66E-02
sulfur amino acid metabolic process (GO:0000096)	34	19	8.49	+	2.24	1.72E-04	4.19E-03
regulation of fatty acid oxidation (GO:0046320)	34	19	8.49	+	2.24	1.72E-04	4.18E-03
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	97	54	24.23	+	2.23	1.29E-10	1.17E-08
positive regulation of antigen receptor-mediated signaling pathway (GO:0050857)	27	15	6.74	+	2.22	1.09E-03	1.88E-02
fatty acid catabolic process (GO:0009062)	92	51	22.98	+	2.22	5.17E-10	4.40E-08
nucleoside triphosphate biosynthetic process (GO:0009142)	112	62	27.97	+	2.22	6.49E-12	7.61E-10
ribonucleoside triphosphate biosynthetic process (GO:0009201)	103	57	25.72	+	2.22	4.84E-11	4.72E-09
cellular response to alkaloid (GO:0071312)	38	21	9.49	+	2.21	8.14E-05	2.24E-03
protein-lipid complex assembly (GO:0065005)	29	16	7.24	+	2.21	7.26E-04	1.39E-02
regulation of glycogen biosynthetic process (GO:0005979)	29	16	7.24	+	2.21	7.26E-04	1.39E-02
regulation of glucan biosynthetic process (GO:0010962)	29	16	7.24	+	2.21	7.26E-04	1.39E-02
aerobic respiration (GO:0009060)	203	112	50.70	+	2.21	3.16E-20	9.56E-18
fatty acid beta-oxidation (GO:0006635)	60	33	14.99	+	2.20	6.70E-07	3.10E-05
spindle checkpoint signaling (GO:0031577)	31	17	7.74	+	2.20	4.92E-04	9.98E-03
cellular respiration (GO:0045333)	230	126	57.44	+	2.19	3.22E-22	1.34E-19
fatty acid oxidation (GO:0019395)	84	46	20.98	+	2.19	5.96E-09	4.40E-07
positive regulation of chromosome separation (GO:1905820)	33	18	8.24	+	2.18	3.39E-04	7.37E-03
acetyl-CoA metabolic process (GO:0006084)	33	18	8.24	+	2.18	3.39E-04	7.36E-03
negative regulation of lymphocyte apoptotic process (GO:0070229)	33	18	8.24	+	2.18	3.39E-04	7.35E-03
protein-lipid complex organization (GO:0071825)	57	31	14.24	+	2.18	1.99E-06	8.48E-05
monocarboxylic acid catabolic process (GO:0072329)	116	63	28.97	+	2.17	1.51E-11	1.65E-09
cellular response to interleukin-4 (GO:0071353)	35	19	8.74	+	2.17	2.37E-04	5.41E-03
AMP metabolic process (GO:0046033)	24	13	5.99	+	2.17	3.07E-03	4.34E-02
striated muscle cell development (GO:0055002)	139	75	34.72	+	2.16	2.98E-13	4.38E-11
establishment of protein localization to plasma membrane (GO:0061951)	52	28	12.99	+	2.16	1.36E-05	4.66E-04
nucleotide salvage (GO:0043173)	26	14	6.49	+	2.16	2.07E-03	3.15E-02
actomyosin structure organization (GO:0031032)	119	64	29.72	+	2.15	1.66E-11	1.80E-09
membrane raft organization (GO:0031579)	28	15	6.99	+	2.14	1.42E-03	2.29E-02
striated muscle hypertrophy (GO:0014897)	28	15	6.99	+	2.14	1.42E-03	2.29E-02
sterol biosynthetic process (GO:0016126)	43	23	10.74	+	2.14	6.14E-05	1.74E-03
mitochondrial respiratory chain complex IV assembly (GO:0033617)	30	16	7.49	+	2.14	9.82E-04	1.76E-02
mitotic spindle assembly checkpoint signaling (GO:0007094)	30	16	7.49	+	2.14	9.82E-04	1.76E-02
mitotic spindle checkpoint signaling (GO:0071174)	30	16	7.49	+	2.14	9.82E-04	1.76E-02
spindle assembly checkpoint signaling (GO:0071173)	30	16	7.49	+	2.14	9.82E-04	1.76E-02
regulation of triglyceride metabolic process (GO:0090207)	45	24	11.24	+	2.14	4.46E-05	1.33E-03
purine nucleoside monophosphate metabolic process (GO:0009126)	45	24	11.24	+	2.14	4.46E-05	1.32E-03
fatty-acyl-CoA metabolic process (GO:0035337)	45	24	11.24	+	2.14	4.46E-05	1.32E-03
acylglycerol biosynthetic process (GO:0046463)	30	16	7.49	+	2.14	9.82E-04	1.75E-02
neutral lipid biosynthetic process (GO:0046460)	30	16	7.49	+	2.14	9.82E-04	1.75E-02
muscle hypertrophy (GO:0014896)	30	16	7.49	+	2.14	9.82E-04	1.75E-02
response to muscle activity (GO:0014850)	30	16	7.49	+	2.14	9.82E-04	1.75E-02
protein localization to cell surface (GO:0034394)	30	16	7.49	+	2.14	9.82E-04	1.75E-02
regulation of cholesterol metabolic process (GO:0090181)	47	25	11.74	+	2.13	5.35E-05	1.54E-03
ATP metabolic process (GO:0046034)	170	90	42.46	+	2.12	6.98E-15	1.28E-12
pyruvate metabolic process (GO:0006090)	68	36	16.98	+	2.12	7.74E-07	3.54E-05
purine ribonucleoside monophosphate metabolic process (GO:0009167)	42	22	10.49	+	2.10	2.10E-04	4.91E-03
nucleoside monophosphate biosynthetic process (GO:0009124)	44	23	10.99	+	2.09	1.41E-04	3.55E-03
response to cold (GO:0009409)	46	24	11.49	+	2.09	9.66E-05	2.59E-03
muscle cell development (GO:0055001)	169	88	42.21	+	2.08	3.55E-14	5.80E-12
regulation of striated muscle contraction (GO:0006942)	104	54	25.97	+	2.08	3.90E-09	2.97E-07
regulation of T cell differentiation in thymus (GO:0033081)	27	14	6.74	+	2.08	2.83E-03	4.07E-02
leukocyte adhesion to vascular endothelial cell (GO:0061756)	27	14	6.74	+	2.08	2.83E-03	4.07E-02
amino acid catabolic process (GO:0009063)	108	56	26.97	+	2.08	2.00E-09	1.62E-07
cardiac muscle hypertrophy (GO:0003300)	27	14	6.74	+	2.08	2.83E-03	4.06E-02
T cell selection (GO:0045058)	64	33	15.98	+	2.06	6.79E-06	2.50E-04
alpha-amino acid catabolic process (GO:1901606)	97	50	24.23	+	2.06	2.09E-08	1.37E-06
purine ribonucleoside triphosphate metabolic process (GO:0009205)	194	100	48.45	+	2.06	1.86E-15	3.61E-13
negative regulation of mitotic sister chromatid separation (GO:2000816)	33	17	8.24	+	2.06	1.01E-03	1.78E-02
negative regulation of mitotic sister chromatid segregation (GO:0033048)	33	17	8.24	+	2.06	1.01E-03	1.77E-02
negative regulation of sister chromatid segregation (GO:0033046)	33	17	8.24	+	2.06	1.01E-03	1.77E-02
regulation of spindle checkpoint (GO:0090231)	33	17	8.24	+	2.06	1.01E-03	1.77E-02
respiratory chain complex IV assembly (GO:0008535)	33	17	8.24	+	2.06	1.01E-03	1.77E-02
negative regulation of cardiac muscle hypertrophy (GO:0010614)	33	17	8.24	+	2.06	1.01E-03	1.76E-02
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	33	17	8.24	+	2.06	1.01E-03	1.76E-02
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	35	18	8.74	+	2.06	7.22E-04	1.39E-02
negative regulation of chromosome separation (GO:1905819)	35	18	8.74	+	2.06	7.22E-04	1.39E-02
ribonucleoside monophosphate biosynthetic process (GO:0009156)	35	18	8.74	+	2.06	7.22E-04	1.39E-02
nucleobase metabolic process (GO:0009112)	35	18	8.74	+	2.06	7.22E-04	1.39E-02
negative regulation of muscle hypertrophy (GO:0014741)	35	18	8.74	+	2.06	7.22E-04	1.39E-02
secondary alcohol biosynthetic process (GO:1902653)	37	19	9.24	+	2.06	8.15E-04	1.54E-02
cholesterol biosynthetic process (GO:0006695)	37	19	9.24	+	2.06	8.15E-04	1.53E-02
regulation of polysaccharide biosynthetic process (GO:0032885)	37	19	9.24	+	2.06	8.15E-04	1.53E-02
response to dietary excess (GO:0002021)	37	19	9.24	+	2.06	8.15E-04	1.53E-02
regulation of glycogen metabolic process (GO:0070873)	37	19	9.24	+	2.06	8.15E-04	1.53E-02
purine nucleoside triphosphate metabolic process (GO:0009144)	201	103	50.20	+	2.05	1.53E-15	3.01E-13
regulation of lipid storage (GO:0010883)	43	22	10.74	+	2.05	2.60E-04	5.87E-03
acylglycerol homeostasis (GO:0055090)	45	23	11.24	+	2.05	1.81E-04	4.32E-03
nucleoside metabolic process (GO:0009116)	45	23	11.24	+	2.05	1.81E-04	4.31E-03
mitochondrial respiratory chain complex assembly (GO:0033108)	102	52	25.48	+	2.04	2.44E-08	1.57E-06
mitotic spindle assembly (GO:0090307)	51	26	12.74	+	2.04	6.45E-05	1.81E-03
pyridine nucleotide catabolic process (GO:0019364)	53	27	13.24	+	2.04	4.62E-05	1.36E-03
lipid storage (GO:0019915)	55	28	13.74	+	2.04	3.33E-05	1.03E-03
proton transmembrane transport (GO:1902600)	189	96	47.20	+	2.03	2.99E-14	5.11E-12
nucleoside triphosphate metabolic process (GO:0009141)	220	111	54.95	+	2.02	3.34E-16	7.15E-14
organic acid catabolic process (GO:0016054)	232	117	57.94	+	2.02	6.44E-17	1.44E-14
carboxylic acid catabolic process (GO:0046395)	232	117	57.94	+	2.02	6.44E-17	1.42E-14
energy derivation by oxidation of organic compounds (GO:0015980)	304	153	75.93	+	2.02	1.06E-21	4.29E-19
ribonucleotide biosynthetic process (GO:0009260)	163	82	40.71	+	2.01	3.73E-12	4.59E-10
cytochrome complex assembly (GO:0017004)	46	23	11.49	+	2.00	2.48E-04	5.63E-03
fatty acid transport (GO:0015908)	92	46	22.98	+	2.00	3.22E-07	1.60E-05
establishment of skin barrier (GO:0061436)	34	17	8.49	+	2.00	2.13E-03	3.24E-02
negative regulation of chromosome segregation (GO:0051985)	36	18	8.99	+	2.00	1.46E-03	2.36E-02
response to dexamethasone (GO:0071548)	38	19	9.49	+	2.00	1.01E-03	1.76E-02
peptide metabolic process (GO:0006518)	60	30	14.99	+	2.00	3.23E-05	1.00E-03
negative regulation of leukocyte apoptotic process (GO:2000107)	50	25	12.49	+	2.00	2.05E-04	4.83E-03
regulation of mitotic cell cycle spindle assembly checkpoint (GO:0090266)	32	16	7.99	+	2.00	3.14E-03	4.43E-02
