




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (5121)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
9-cis-retinoic acid biosynthetic process (GO:0042904)	4	4	1.00	+	4.02	3.83E-03	3.79E-02
negative regulation of defense response to bacterium (GO:1900425)	4	4	1.00	+	4.02	3.83E-03	3.79E-02
ureter maturation (GO:0035799)	4	4	1.00	+	4.02	3.83E-03	3.79E-02
negative regulation of somatic stem cell population maintenance (GO:1904673)	4	4	1.00	+	4.02	3.83E-03	3.78E-02
regulation of membrane repolarization during ventricular cardiac muscle cell action potential (GO:1905024)	5	5	1.24	+	4.02	9.53E-04	1.27E-02
regulation of high-density lipoprotein particle clearance (GO:0010982)	4	4	1.00	+	4.02	3.83E-03	3.78E-02
quinolinate metabolic process (GO:0046874)	4	4	1.00	+	4.02	3.83E-03	3.78E-02
pancreatic A cell differentiation (GO:0003310)	6	6	1.49	+	4.02	2.37E-04	4.01E-03
postsynaptic density protein 95 clustering (GO:0097119)	6	6	1.49	+	4.02	2.37E-04	4.00E-03
postsynaptic membrane assembly (GO:0097104)	8	8	1.99	+	4.02	1.46E-05	3.53E-04
L-histidine catabolic process to glutamate and formate (GO:0019557)	4	4	1.00	+	4.02	3.83E-03	3.78E-02
L-histidine catabolic process to glutamate and formamide (GO:0019556)	4	4	1.00	+	4.02	3.83E-03	3.77E-02
pattern specification involved in kidney development (GO:0061004)	8	8	1.99	+	4.02	1.46E-05	3.52E-04
somatic recombination of T cell receptor gene segments (GO:0002681)	4	4	1.00	+	4.02	3.83E-03	3.77E-02
potassium ion export across plasma membrane (GO:0097623)	15	14	3.73	+	3.75	3.97E-08	1.73E-06
gastric acid secretion (GO:0001696)	9	8	2.24	+	3.57	1.03E-04	1.92E-03
regulation of hair follicle maturation (GO:0048819)	9	8	2.24	+	3.57	1.03E-04	1.92E-03
norepinephrine biosynthetic process (GO:0042421)	9	8	2.24	+	3.57	1.03E-04	1.92E-03
G protein-coupled adenosine receptor signaling pathway (GO:0001973)	8	7	1.99	+	3.52	3.69E-04	5.73E-03
regulation of sarcomere organization (GO:0060297)	8	7	1.99	+	3.52	3.69E-04	5.72E-03
ERBB2-EGFR signaling pathway (GO:0038134)	8	7	1.99	+	3.52	3.69E-04	5.72E-03
G protein-coupled purinergic receptor signaling pathway (GO:0035588)	8	7	1.99	+	3.52	3.69E-04	5.71E-03
SA node cell to atrial cardiac muscle cell signaling (GO:0086018)	8	7	1.99	+	3.52	3.69E-04	5.71E-03
SA node cell action potential (GO:0086015)	8	7	1.99	+	3.52	3.69E-04	5.70E-03
positive regulation of fear response (GO:1903367)	8	7	1.99	+	3.52	3.69E-04	5.69E-03
forebrain neuron fate commitment (GO:0021877)	8	7	1.99	+	3.52	3.69E-04	5.69E-03
positive regulation of behavioral fear response (GO:2000987)	7	6	1.74	+	3.44	1.30E-03	1.60E-02
regulation of atrial cardiac muscle cell membrane repolarization (GO:0060372)	7	6	1.74	+	3.44	1.30E-03	1.60E-02
gamma-aminobutyric acid secretion (GO:0014051)	7	6	1.74	+	3.44	1.30E-03	1.60E-02
brush border assembly (GO:1904970)	7	6	1.74	+	3.44	1.30E-03	1.60E-02
axon choice point recognition (GO:0016198)	7	6	1.74	+	3.44	1.30E-03	1.60E-02
skeletal muscle satellite cell differentiation (GO:0014816)	7	6	1.74	+	3.44	1.30E-03	1.60E-02
lateral sprouting from an epithelium (GO:0060601)	7	6	1.74	+	3.44	1.30E-03	1.59E-02
catechol-containing compound biosynthetic process (GO:0009713)	20	17	4.98	+	3.42	2.70E-08	1.23E-06
catecholamine biosynthetic process (GO:0042423)	20	17	4.98	+	3.42	2.70E-08	1.23E-06
positive regulation of synaptic vesicle membrane organization (GO:1901634)	13	11	3.23	+	3.40	1.05E-05	2.62E-04
calcium-dependent activation of synaptic vesicle fusion (GO:0099502)	13	11	3.23	+	3.40	1.05E-05	2.61E-04
positive regulation of synaptic vesicle fusion to presynaptic active zone membrane (GO:0031632)	13	11	3.23	+	3.40	1.05E-05	2.61E-04
neuron cell-cell adhesion (GO:0007158)	19	16	4.73	+	3.38	9.27E-08	3.75E-06
positive regulation of glucocorticoid secretion (GO:2000851)	6	5	1.49	+	3.35	4.53E-03	4.25E-02
regulation of synaptic vesicle clustering (GO:2000807)	6	5	1.49	+	3.35	4.53E-03	4.25E-02
negative regulation of B cell differentiation (GO:0045578)	6	5	1.49	+	3.35	4.53E-03	4.24E-02
convergent extension involved in axis elongation (GO:0060028)	6	5	1.49	+	3.35	4.53E-03	4.24E-02
negative regulation of apoptotic process involved in morphogenesis (GO:1902338)	6	5	1.49	+	3.35	4.53E-03	4.24E-02
amino acid neurotransmitter reuptake (GO:0051933)	6	5	1.49	+	3.35	4.53E-03	4.24E-02
negative regulation of delayed rectifier potassium channel activity (GO:1902260)	6	5	1.49	+	3.35	4.53E-03	4.23E-02
regulation of norepinephrine secretion (GO:0014061)	12	10	2.99	+	3.35	3.58E-05	7.71E-04
regulation of neutrophil mediated cytotoxicity (GO:0070948)	6	5	1.49	+	3.35	4.53E-03	4.23E-02
positive regulation of hair follicle development (GO:0051798)	12	10	2.99	+	3.35	3.58E-05	7.69E-04
regulation of corticotropin secretion (GO:0051459)	6	5	1.49	+	3.35	4.53E-03	4.23E-02
positive regulation of fever generation (GO:0031622)	6	5	1.49	+	3.35	4.53E-03	4.22E-02
G1 to G0 transition involved in cell differentiation (GO:0070315)	6	5	1.49	+	3.35	4.53E-03	4.22E-02
negative regulation of potassium ion transmembrane transporter activity (GO:1901017)	6	5	1.49	+	3.35	4.53E-03	4.22E-02
D-amino acid transport (GO:0042940)	6	5	1.49	+	3.35	4.53E-03	4.22E-02
fused antrum stage (GO:0048165)	6	5	1.49	+	3.35	4.53E-03	4.21E-02
negative regulation of apoptotic process involved in development (GO:1904746)	6	5	1.49	+	3.35	4.53E-03	4.21E-02
regulation of membrane repolarization during cardiac muscle cell action potential (GO:1905031)	6	5	1.49	+	3.35	4.53E-03	4.21E-02
negative regulation of voltage-gated potassium channel activity (GO:1903817)	6	5	1.49	+	3.35	4.53E-03	4.21E-02
negative regulation of norepinephrine secretion (GO:0010700)	6	5	1.49	+	3.35	4.53E-03	4.20E-02
acetylcholine metabolic process (GO:0008291)	6	5	1.49	+	3.35	4.53E-03	4.20E-02
gephyrin clustering involved in postsynaptic density assembly (GO:0097116)	6	5	1.49	+	3.35	4.53E-03	4.20E-02
commitment of neuronal cell to specific neuron type in forebrain (GO:0021902)	6	5	1.49	+	3.35	4.53E-03	4.20E-02
cerebral cortex tangential migration (GO:0021800)	6	5	1.49	+	3.35	4.53E-03	4.19E-02
lipoxygenase pathway (GO:0019372)	11	9	2.74	+	3.29	1.21E-04	2.20E-03
positive regulation of T cell differentiation in thymus (GO:0033089)	11	9	2.74	+	3.29	1.21E-04	2.20E-03
regulation of synaptic vesicle membrane organization (GO:1901632)	22	18	5.47	+	3.29	3.28E-08	1.46E-06
regulation of synaptic vesicle fusion to presynaptic active zone membrane (GO:0031630)	22	18	5.47	+	3.29	3.28E-08	1.46E-06
synapse maturation (GO:0060074)	16	13	3.98	+	3.27	3.54E-06	1.01E-04
regulation of presynaptic cytosolic calcium ion concentration (GO:0099509)	15	12	3.73	+	3.21	1.16E-05	2.88E-04
negative regulation of synapse assembly (GO:0051964)	10	8	2.49	+	3.21	4.00E-04	6.10E-03
regulation of synapse pruning (GO:1905806)	10	8	2.49	+	3.21	4.00E-04	6.09E-03
L-tryptophan catabolic process (GO:0006569)	9	7	2.24	+	3.13	1.30E-03	1.61E-02
aggressive behavior (GO:0002118)	9	7	2.24	+	3.13	1.30E-03	1.61E-02
SA node cell to atrial cardiac muscle cell communication (GO:0086070)	9	7	2.24	+	3.13	1.30E-03	1.61E-02
dopamine biosynthetic process (GO:0042416)	9	7	2.24	+	3.13	1.30E-03	1.61E-02
mesenchymal-epithelial cell signaling (GO:0060638)	9	7	2.24	+	3.13	1.30E-03	1.60E-02
'de novo' NAD+ biosynthetic process from L-tryptophan (GO:0034354)	9	7	2.24	+	3.13	1.30E-03	1.60E-02
ventricular cardiac muscle cell membrane repolarization (GO:0099625)	13	10	3.23	+	3.09	1.20E-04	2.21E-03
membrane repolarization during ventricular cardiac muscle cell action potential (GO:0098915)	13	10	3.23	+	3.09	1.20E-04	2.21E-03
regulation of intestinal lipid absorption (GO:1904729)	13	10	3.23	+	3.09	1.20E-04	2.20E-03
trophoblast giant cell differentiation (GO:0060707)	13	10	3.23	+	3.09	1.20E-04	2.20E-03
microtubule depolymerization (GO:0007019)	17	13	4.23	+	3.07	1.16E-05	2.88E-04
positive regulation of cardiac muscle contraction (GO:0060452)	8	6	1.99	+	3.01	4.11E-03	3.96E-02
imidazole-containing compound catabolic process (GO:0052805)	8	6	1.99	+	3.01	4.11E-03	3.96E-02
epithelial cilium movement involved in determination of left/right asymmetry (GO:0060287)	12	9	2.99	+	3.01	3.75E-04	5.79E-03
regulation of thyroid hormone generation (GO:2000609)	8	6	1.99	+	3.01	4.11E-03	3.96E-02
leukocyte chemotaxis involved in inflammatory response (GO:0002232)	8	6	1.99	+	3.01	4.11E-03	3.96E-02
paracellular transport (GO:0160184)	8	6	1.99	+	3.01	4.11E-03	3.95E-02
L-histidine catabolic process (GO:0006548)	8	6	1.99	+	3.01	4.11E-03	3.95E-02
L-histidine metabolic process (GO:0006547)	8	6	1.99	+	3.01	4.11E-03	3.95E-02
synaptic signaling via neuropeptide (GO:0099538)	8	6	1.99	+	3.01	4.11E-03	3.95E-02
positive regulation of spindle assembly (GO:1905832)	8	6	1.99	+	3.01	4.11E-03	3.94E-02
pronephros development (GO:0048793)	8	6	1.99	+	3.01	4.11E-03	3.94E-02
sodium-dependent phosphate transport (GO:0044341)	8	6	1.99	+	3.01	4.11E-03	3.94E-02
excitatory chemical synaptic transmission (GO:0098976)	12	9	2.99	+	3.01	3.75E-04	5.78E-03
positive regulation of synaptic transmission, cholinergic (GO:0032224)	8	6	1.99	+	3.01	4.11E-03	3.94E-02
regulation of synaptic transmission, cholinergic (GO:0032222)	12	9	2.99	+	3.01	3.75E-04	5.77E-03
regulation of very-low-density lipoprotein particle remodeling (GO:0010901)	8	6	1.99	+	3.01	4.11E-03	3.93E-02
regulation of complement activation, classical pathway (GO:0030450)	8	6	1.99	+	3.01	4.11E-03	3.93E-02
diterpenoid biosynthetic process (GO:0016102)	8	6	1.99	+	3.01	4.11E-03	3.93E-02
programmed cell death involved in cell development (GO:0010623)	8	6	1.99	+	3.01	4.11E-03	3.93E-02
urinary tract smooth muscle contraction (GO:0014848)	8	6	1.99	+	3.01	4.11E-03	3.92E-02
urinary bladder smooth muscle contraction (GO:0014832)	8	6	1.99	+	3.01	4.11E-03	3.92E-02
regulation of fear response (GO:1903365)	12	9	2.99	+	3.01	3.75E-04	5.77E-03
membrane repolarization during action potential (GO:0086011)	23	17	5.72	+	2.97	1.08E-06	3.45E-05
L-tryptophan metabolic process (GO:0006568)	15	11	3.73	+	2.95	1.09E-04	2.04E-03
atrial cardiac muscle cell to AV node cell communication (GO:0086066)	15	11	3.73	+	2.95	1.09E-04	2.03E-03
imidazole-containing compound metabolic process (GO:0052803)	11	8	2.74	+	2.92	1.15E-03	1.46E-02
regulation of behavioral fear response (GO:2000822)	11	8	2.74	+	2.92	1.15E-03	1.45E-02
mitotic spindle midzone assembly (GO:0051256)	11	8	2.74	+	2.92	1.15E-03	1.45E-02
mitotic spindle elongation (GO:0000022)	11	8	2.74	+	2.92	1.15E-03	1.45E-02
urate transport (GO:0015747)	11	8	2.74	+	2.92	1.15E-03	1.45E-02
embryonic camera-type eye formation (GO:0060900)	11	8	2.74	+	2.92	1.15E-03	1.45E-02
membrane repolarization (GO:0086009)	29	21	7.22	+	2.91	9.93E-08	4.00E-06
acid secretion (GO:0046717)	29	21	7.22	+	2.91	9.93E-08	3.99E-06
cardiac myofibril assembly (GO:0055003)	18	13	4.48	+	2.90	3.22E-05	7.08E-04
purinergic nucleotide receptor signaling pathway (GO:0035590)	28	20	6.97	+	2.87	2.91E-07	1.08E-05
G protein-coupled purinergic nucleotide receptor signaling pathway (GO:0035589)	14	10	3.48	+	2.87	3.26E-04	5.23E-03
atrial cardiac muscle cell to AV node cell signaling (GO:0086026)	14	10	3.48	+	2.87	3.26E-04	5.22E-03
atrial cardiac muscle cell action potential (GO:0086014)	14	10	3.48	+	2.87	3.26E-04	5.22E-03
cardiac muscle cell membrane repolarization (GO:0099622)	21	15	5.23	+	2.87	9.51E-06	2.41E-04
membrane repolarization during cardiac muscle cell action potential (GO:0086013)	21	15	5.23	+	2.87	9.51E-06	2.40E-04
aromatic amino acid family catabolic process (GO:0009074)	24	17	5.97	+	2.85	2.83E-06	8.29E-05
regulation of cardiac muscle cell membrane repolarization (GO:0099623)	27	19	6.72	+	2.83	8.44E-07	2.77E-05
positive regulation of neurotransmitter secretion (GO:0001956)	20	14	4.98	+	2.81	2.76E-05	6.22E-04
negative regulation of mesenchymal cell apoptotic process (GO:2001054)	10	7	2.49	+	2.81	3.40E-03	3.49E-02
antral ovarian follicle growth (GO:0001547)	10	7	2.49	+	2.81	3.40E-03	3.49E-02
regulation of hair follicle development (GO:0051797)	20	14	4.98	+	2.81	2.76E-05	6.21E-04
kynurenine metabolic process (GO:0070189)	10	7	2.49	+	2.81	3.40E-03	3.49E-02
regulation of chemokine-mediated signaling pathway (GO:0070099)	10	7	2.49	+	2.81	3.40E-03	3.49E-02
regulation of intestinal cholesterol absorption (GO:0030300)	10	7	2.49	+	2.81	3.40E-03	3.48E-02
triglyceride-rich lipoprotein particle remodeling (GO:0034370)	10	7	2.49	+	2.81	3.40E-03	3.48E-02
regulation of ventricular cardiac muscle cell membrane repolarization (GO:0060307)	23	16	5.72	+	2.80	8.13E-06	2.10E-04
negative regulation of amine transport (GO:0051953)	23	16	5.72	+	2.80	8.13E-06	2.10E-04
regulation of mesenchymal cell apoptotic process (GO:2001053)	13	9	3.23	+	2.78	9.50E-04	1.29E-02
spindle elongation (GO:0051231)	13	9	3.23	+	2.78	9.50E-04	1.29E-02
glial cell-derived neurotrophic factor receptor signaling pathway (GO:0035860)	13	9	3.23	+	2.78	9.50E-04	1.28E-02
noradrenergic neuron differentiation (GO:0003357)	13	9	3.23	+	2.78	9.50E-04	1.28E-02
postsynaptic density organization (GO:0097106)	29	20	7.22	+	2.77	7.19E-07	2.38E-05
kidney mesenchyme development (GO:0072074)	16	11	3.98	+	2.76	2.71E-04	4.47E-03
gamma-aminobutyric acid transport (GO:0015812)	16	11	3.98	+	2.76	2.71E-04	4.47E-03
mesenchymal cell proliferation (GO:0010463)	16	11	3.98	+	2.76	2.71E-04	4.46E-03
nephron tubule formation (GO:0072079)	19	13	4.73	+	2.75	7.86E-05	1.53E-03
cell-cell signaling involved in cardiac conduction (GO:0086019)	25	17	6.22	+	2.73	6.78E-06	1.80E-04
negative regulation of catecholamine secretion (GO:0033604)	12	8	2.99	+	2.68	2.69E-03	2.90E-02
regulation of store-operated calcium entry (GO:2001256)	15	10	3.73	+	2.68	7.60E-04	1.06E-02
lymphoid progenitor cell differentiation (GO:0002320)	12	8	2.99	+	2.68	2.69E-03	2.90E-02
nephric duct development (GO:0072176)	15	10	3.73	+	2.68	7.60E-04	1.06E-02
distal tubule development (GO:0072017)	12	8	2.99	+	2.68	2.69E-03	2.90E-02
lipid export from cell (GO:0140353)	12	8	2.99	+	2.68	2.69E-03	2.90E-02
negative thymic T cell selection (GO:0045060)	12	8	2.99	+	2.68	2.69E-03	2.89E-02
peripheral nervous system neuron differentiation (GO:0048934)	15	10	3.73	+	2.68	7.60E-04	1.06E-02
action potential propagation (GO:0098870)	12	8	2.99	+	2.68	2.69E-03	2.89E-02
tongue development (GO:0043586)	18	12	4.48	+	2.68	2.19E-04	3.74E-03
postsynapse assembly (GO:0099068)	24	16	5.97	+	2.68	1.87E-05	4.44E-04
regulation of intestinal absorption (GO:1904478)	15	10	3.73	+	2.68	7.60E-04	1.06E-02
positive regulation of calcium ion-dependent exocytosis (GO:0045956)	18	12	4.48	+	2.68	2.19E-04	3.74E-03
synaptic vesicle clustering (GO:0097091)	12	8	2.99	+	2.68	2.69E-03	2.89E-02
cartilage morphogenesis (GO:0060536)	12	8	2.99	+	2.68	2.69E-03	2.89E-02
calcium ion import into cytosol (GO:1902656)	27	18	6.72	+	2.68	5.55E-06	1.52E-04
regulation of vesicle fusion (GO:0031338)	35	23	8.71	+	2.64	4.00E-07	1.42E-05
positive regulation of smooth muscle contraction (GO:0045987)	29	19	7.22	+	2.63	4.47E-06	1.25E-04
calcium ion import across plasma membrane (GO:0098703)	26	17	6.47	+	2.63	1.50E-05	3.61E-04
ventricular cardiac muscle cell action potential (GO:0086005)	23	15	5.72	+	2.62	5.09E-05	1.04E-03
leukocyte tethering or rolling (GO:0050901)	20	13	4.98	+	2.61	1.73E-04	3.03E-03
regulation of glutamate secretion (GO:0014048)	17	11	4.23	+	2.60	5.95E-04	8.64E-03
postsynaptic specialization organization (GO:0099084)	34	22	8.46	+	2.60	1.07E-06	3.43E-05
ionotropic glutamate receptor signaling pathway (GO:0035235)	31	20	7.71	+	2.59	3.56E-06	1.01E-04
cerebellar granular layer development (GO:0021681)	14	9	3.48	+	2.58	2.07E-03	2.36E-02
postsynaptic membrane organization (GO:0001941)	28	18	6.97	+	2.58	1.19E-05	2.94E-04
peripheral nervous system neuron development (GO:0048935)	14	9	3.48	+	2.58	2.07E-03	2.36E-02
amide catabolic process (GO:0043605)	14	9	3.48	+	2.58	2.07E-03	2.35E-02
synaptic vesicle docking (GO:0016081)	14	9	3.48	+	2.58	2.07E-03	2.35E-02
postsynaptic density assembly (GO:0097107)	14	9	3.48	+	2.58	2.07E-03	2.35E-02
parturition (GO:0007567)	14	9	3.48	+	2.58	2.07E-03	2.35E-02
regulation of membrane repolarization (GO:0060306)	36	23	8.96	+	2.57	8.46E-07	2.77E-05
cardiac muscle cell action potential involved in contraction (GO:0086002)	47	30	11.70	+	2.57	1.86E-08	8.81E-07
sarcomere organization (GO:0045214)	44	28	10.95	+	2.56	6.12E-08	2.58E-06
cellular response to glucagon stimulus (GO:0071377)	22	14	5.47	+	2.56	1.35E-04	2.45E-03
negative chemotaxis (GO:0050919)	44	28	10.95	+	2.56	6.12E-08	2.57E-06
positive regulation of vesicle fusion (GO:0031340)	22	14	5.47	+	2.56	1.35E-04	2.44E-03
calcium-dependent cell-cell adhesion (GO:0016339)	46	29	11.45	+	2.53	4.82E-08	2.08E-06
sodium ion import across plasma membrane (GO:0098719)	27	17	6.72	+	2.53	3.12E-05	6.89E-04
leukocyte adhesion to vascular endothelial cell (GO:0061756)	27	17	6.72	+	2.53	3.12E-05	6.88E-04
positive regulation of muscle contraction (GO:0045933)	54	34	13.44	+	2.53	3.54E-09	1.88E-07
phenol-containing compound biosynthetic process (GO:0046189)	35	22	8.71	+	2.53	2.20E-06	6.57E-05
G1 to G0 transition (GO:0070314)	16	10	3.98	+	2.51	1.58E-03	1.88E-02
regulation of triglyceride catabolic process (GO:0010896)	16	10	3.98	+	2.51	1.58E-03	1.88E-02
low-density lipoprotein particle remodeling (GO:0034374)	16	10	3.98	+	2.51	1.58E-03	1.88E-02
myofibril assembly (GO:0030239)	69	43	17.17	+	2.50	4.96E-11	3.44E-09
skeletal muscle contraction (GO:0003009)	37	23	9.21	+	2.50	1.71E-06	5.26E-05
neurotransmitter reuptake (GO:0098810)	21	13	5.23	+	2.49	3.51E-04	5.53E-03
sympathetic nervous system development (GO:0048485)	21	13	5.23	+	2.49	3.51E-04	5.52E-03
regulation of calcium ion-dependent exocytosis (GO:0017158)	42	26	10.45	+	2.49	4.04E-07	1.44E-05
retinal ganglion cell axon guidance (GO:0031290)	21	13	5.23	+	2.49	3.51E-04	5.52E-03
receptor guanylyl cyclase signaling pathway (GO:0007168)	13	8	3.23	+	2.47	5.46E-03	4.90E-02
metanephric mesenchyme development (GO:0072075)	13	8	3.23	+	2.47	5.46E-03	4.90E-02
regulation of resting membrane potential (GO:0060075)	13	8	3.23	+	2.47	5.46E-03	4.90E-02
neuronal ion channel clustering (GO:0045161)	13	8	3.23	+	2.47	5.46E-03	4.90E-02
regulation of cell projection size (GO:0032536)	13	8	3.23	+	2.47	5.46E-03	4.89E-02
detection of molecule of bacterial origin (GO:0032490)	13	8	3.23	+	2.47	5.46E-03	4.89E-02
positive regulation of neurotransmitter transport (GO:0051590)	26	16	6.47	+	2.47	8.00E-05	1.54E-03
microtubule severing (GO:0051013)	13	8	3.23	+	2.47	5.46E-03	4.89E-02
negative T cell selection (GO:0043383)	13	8	3.23	+	2.47	5.46E-03	4.88E-02
positive regulation of striated muscle contraction (GO:0045989)	13	8	3.23	+	2.47	5.46E-03	4.88E-02
neurotransmitter-gated ion channel clustering (GO:0072578)	13	8	3.23	+	2.47	5.46E-03	4.88E-02
positive regulation of synaptic transmission, glutamatergic (GO:0051968)	31	19	7.71	+	2.46	1.85E-05	4.40E-04
epithelial cilium movement involved in extracellular fluid movement (GO:0003351)	49	30	12.19	+	2.46	7.42E-08	3.05E-06
segment specification (GO:0007379)	18	11	4.48	+	2.46	1.19E-03	1.49E-02
positive regulation of cAMP/PKA signal transduction (GO:0141163)	18	11	4.48	+	2.46	1.19E-03	1.49E-02
embryonic digestive tract morphogenesis (GO:0048557)	18	11	4.48	+	2.46	1.19E-03	1.49E-02
inner dynein arm assembly (GO:0036159)	18	11	4.48	+	2.46	1.19E-03	1.49E-02
regulation of odontogenesis (GO:0042481)	18	11	4.48	+	2.46	1.19E-03	1.49E-02
norepinephrine metabolic process (GO:0042415)	18	11	4.48	+	2.46	1.19E-03	1.48E-02
axonal fasciculation (GO:0007413)	23	14	5.72	+	2.45	2.66E-04	4.43E-03
neuron projection fasciculation (GO:0106030)	23	14	5.72	+	2.45	2.66E-04	4.42E-03
regulation of synapse maturation (GO:0090128)	28	17	6.97	+	2.44	6.09E-05	1.21E-03
regulation of cytosolic calcium ion concentration (GO:0051480)	58	35	14.43	+	2.43	1.05E-08	5.19E-07
cardiac muscle cell action potential (GO:0086001)	58	35	14.43	+	2.43	1.05E-08	5.17E-07
activation of adenylate cyclase activity (GO:0007190)	15	9	3.73	+	2.41	4.04E-03	3.93E-02
cellular response to vitamin D (GO:0071305)	15	9	3.73	+	2.41	4.04E-03	3.93E-02
negative regulation of synapse organization (GO:1905809)	15	9	3.73	+	2.41	4.04E-03	3.93E-02
positive regulation of non-canonical Wnt signaling pathway (GO:2000052)	15	9	3.73	+	2.41	4.04E-03	3.92E-02
regulation of non-canonical Wnt signaling pathway (GO:2000050)	25	15	6.22	+	2.41	2.01E-04	3.45E-03
