




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (5149)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
Golgi lumen acidification (GO:0061795)	10	10	2.50	+	4.00	9.55E-07	2.12E-05
citrate transport (GO:0015746)	5	5	1.25	+	4.00	9.79E-04	9.28E-03
succinate transport (GO:0015744)	5	5	1.25	+	4.00	9.79E-04	9.27E-03
D-glucuronate catabolic process to D-xylulose 5-phosphate (GO:0019640)	5	5	1.25	+	4.00	9.79E-04	9.26E-03
maintenance of protein location in mitochondrion (GO:0072656)	5	5	1.25	+	4.00	9.79E-04	9.26E-03
L-kynurenine metabolic process (GO:0097052)	5	5	1.25	+	4.00	9.79E-04	9.25E-03
response to oleic acid (GO:0034201)	4	4	1.00	+	4.00	3.91E-03	3.06E-02
L-cysteine catabolic process (GO:0019448)	4	4	1.00	+	4.00	3.91E-03	3.05E-02
glyceraldehyde-3-phosphate biosynthetic process (GO:0046166)	4	4	1.00	+	4.00	3.91E-03	3.05E-02
pyrimidine nucleoside catabolic process (GO:0046135)	4	4	1.00	+	4.00	3.91E-03	3.05E-02
transsulfuration (GO:0019346)	4	4	1.00	+	4.00	3.91E-03	3.05E-02
guanine metabolic process (GO:0046098)	4	4	1.00	+	4.00	3.91E-03	3.05E-02
positive regulation of receptor localization to synapse (GO:1902685)	4	4	1.00	+	4.00	3.91E-03	3.05E-02
dATP metabolic process (GO:0046060)	4	4	1.00	+	4.00	3.91E-03	3.04E-02
carnitine shuttle (GO:0006853)	4	4	1.00	+	4.00	3.91E-03	3.04E-02
negative regulation of apoptotic process in bone marrow cell (GO:0071866)	4	4	1.00	+	4.00	3.91E-03	3.04E-02
regulation of apoptotic process in bone marrow cell (GO:0071865)	4	4	1.00	+	4.00	3.91E-03	3.04E-02
response to triglyceride (GO:0034014)	4	4	1.00	+	4.00	3.91E-03	3.04E-02
L-lysine catabolic process to acetyl-CoA via saccharopine (GO:0033512)	4	4	1.00	+	4.00	3.91E-03	3.04E-02
intestinal D-glucose absorption (GO:0001951)	4	4	1.00	+	4.00	3.91E-03	3.03E-02
protein localization to cell leading edge (GO:1902463)	4	4	1.00	+	4.00	3.91E-03	3.03E-02
astrocyte activation involved in immune response (GO:0002265)	4	4	1.00	+	4.00	3.91E-03	3.03E-02
ribosome hibernation (GO:0141014)	4	4	1.00	+	4.00	3.91E-03	3.03E-02
protein localization to secretory granule (GO:0033366)	4	4	1.00	+	4.00	3.91E-03	3.03E-02
asparagine metabolic process (GO:0006528)	4	4	1.00	+	4.00	3.91E-03	3.03E-02
cellular hyperosmotic salinity response (GO:0071475)	4	4	1.00	+	4.00	3.91E-03	3.03E-02
hydrogen sulfide metabolic process (GO:0070813)	4	4	1.00	+	4.00	3.91E-03	3.02E-02
peptidyl-methionine modification (GO:0018206)	4	4	1.00	+	4.00	3.91E-03	3.02E-02
negative regulation of calcium ion export across plasma membrane (GO:1905913)	4	4	1.00	+	4.00	3.91E-03	3.02E-02
branched-chain alpha-keto acid decarboxylation to branched-chain acyl-CoA (GO:0120552)	4	4	1.00	+	4.00	3.91E-03	3.02E-02
response to methylmercury (GO:0051597)	4	4	1.00	+	4.00	3.91E-03	3.02E-02
positive regulation of inclusion body assembly (GO:0090261)	4	4	1.00	+	4.00	3.91E-03	3.02E-02
regulation of smooth muscle cell-matrix adhesion (GO:2000097)	4	4	1.00	+	4.00	3.91E-03	3.01E-02
regulation of Golgi inheritance (GO:0090170)	4	4	1.00	+	4.00	3.91E-03	3.01E-02
positive regulation of plasma membrane repair (GO:1905686)	4	4	1.00	+	4.00	3.91E-03	3.01E-02
maintenance of unfolded protein (GO:0036506)	4	4	1.00	+	4.00	3.91E-03	3.01E-02
nuclear receptor-mediated glucocorticoid signaling pathway (GO:0042921)	4	4	1.00	+	4.00	3.91E-03	3.01E-02
hepatic stellate cell activation (GO:0035733)	4	4	1.00	+	4.00	3.91E-03	3.01E-02
electron transport coupled proton transport (GO:0015990)	4	4	1.00	+	4.00	3.91E-03	3.00E-02
energy coupled proton transmembrane transport, against electrochemical gradient (GO:0015988)	4	4	1.00	+	4.00	3.91E-03	3.00E-02
SNARE complex disassembly (GO:0035494)	4	4	1.00	+	4.00	3.91E-03	3.00E-02
myosin filament assembly (GO:0031034)	4	4	1.00	+	4.00	3.91E-03	3.00E-02
myosin filament organization (GO:0031033)	4	4	1.00	+	4.00	3.91E-03	3.00E-02
negative regulation of very-low-density lipoprotein particle clearance (GO:0010916)	4	4	1.00	+	4.00	3.91E-03	3.00E-02
regulation of very-low-density lipoprotein particle clearance (GO:0010915)	4	4	1.00	+	4.00	3.91E-03	2.99E-02
regulation of very-low-density lipoprotein particle remodeling (GO:0010901)	8	8	2.00	+	4.00	1.53E-05	2.54E-04
cysteine catabolic process (GO:0009093)	4	4	1.00	+	4.00	3.91E-03	2.99E-02
homoserine metabolic process (GO:0009092)	4	4	1.00	+	4.00	3.91E-03	2.99E-02
choline catabolic process (GO:0042426)	4	4	1.00	+	4.00	3.91E-03	2.99E-02
nitrate metabolic process (GO:0042126)	4	4	1.00	+	4.00	3.91E-03	2.99E-02
response to anisomycin (GO:0072739)	4	4	1.00	+	4.00	3.91E-03	2.99E-02
L-cysteine metabolic process (GO:0046439)	4	4	1.00	+	4.00	3.91E-03	2.99E-02
actin filament fragmentation (GO:0030043)	4	4	1.00	+	4.00	3.91E-03	2.98E-02
regulation of early endosome to recycling endosome transport (GO:1902954)	4	4	1.00	+	4.00	3.91E-03	2.98E-02
chylomicron remodeling (GO:0034371)	4	4	1.00	+	4.00	3.91E-03	2.98E-02
methyl-branched fatty acid metabolic process (GO:0097089)	4	4	1.00	+	4.00	3.91E-03	2.98E-02
L-kynurenine catabolic process (GO:0097053)	4	4	1.00	+	4.00	3.91E-03	2.98E-02
hydrogen peroxide transmembrane transport (GO:0080170)	4	4	1.00	+	4.00	3.91E-03	2.98E-02
proton motive force-driven mitochondrial ATP synthesis (GO:0042776)	64	59	16.01	+	3.68	4.62E-30	8.09E-28
protein folding in endoplasmic reticulum (GO:0034975)	12	11	3.00	+	3.66	2.21E-06	4.51E-05
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	46	42	11.51	+	3.65	2.53E-21	2.25E-19
fatty acid beta-oxidation using acyl-CoA dehydrogenase (GO:0033539)	11	10	2.75	+	3.63	8.12E-06	1.48E-04
IRES-dependent viral translational initiation (GO:0075522)	11	10	2.75	+	3.63	8.12E-06	1.47E-04
sulfur amino acid catabolic process (GO:0000098)	11	10	2.75	+	3.63	8.12E-06	1.47E-04
cysteine metabolic process (GO:0006534)	10	9	2.50	+	3.60	2.96E-05	4.58E-04
GDP-mannose metabolic process (GO:0019673)	10	9	2.50	+	3.60	2.96E-05	4.58E-04
positive regulation of protein localization to early endosome (GO:1902966)	10	9	2.50	+	3.60	2.96E-05	4.57E-04
regulation of protein localization to early endosome (GO:1902965)	10	9	2.50	+	3.60	2.96E-05	4.57E-04
plasma membrane raft assembly (GO:0044854)	9	8	2.25	+	3.55	1.07E-04	1.41E-03
ERBB2-ERBB3 signaling pathway (GO:0038133)	9	8	2.25	+	3.55	1.07E-04	1.41E-03
ERBB3 signaling pathway (GO:0038129)	9	8	2.25	+	3.55	1.07E-04	1.41E-03
valine metabolic process (GO:0006573)	9	8	2.25	+	3.55	1.07E-04	1.41E-03
anterograde axonal protein transport (GO:0099641)	9	8	2.25	+	3.55	1.07E-04	1.41E-03
axo-dendritic protein transport (GO:0099640)	9	8	2.25	+	3.55	1.07E-04	1.40E-03
positive regulation of mitochondrial calcium ion concentration (GO:0051561)	9	8	2.25	+	3.55	1.07E-04	1.40E-03
malate-aspartate shuttle (GO:0043490)	9	8	2.25	+	3.55	1.07E-04	1.40E-03
protein localization to presynapse (GO:1905383)	9	8	2.25	+	3.55	1.07E-04	1.40E-03
positive regulation of telomerase RNA localization to Cajal body (GO:1904874)	9	8	2.25	+	3.55	1.07E-04	1.40E-03
proton motive force-driven ATP synthesis (GO:0015986)	72	64	18.01	+	3.55	2.94E-30	5.27E-28
synaptic vesicle lumen acidification (GO:0097401)	18	16	4.50	+	3.55	2.08E-08	6.02E-07
endoplasmic reticulum tubular network membrane organization (GO:1990809)	8	7	2.00	+	3.50	3.82E-04	4.21E-03
caveola assembly (GO:0070836)	8	7	2.00	+	3.50	3.82E-04	4.21E-03
postsynaptic endocytosis (GO:0140239)	8	7	2.00	+	3.50	3.82E-04	4.21E-03
neurotransmitter receptor internalization (GO:0099590)	8	7	2.00	+	3.50	3.82E-04	4.20E-03
postsynaptic neurotransmitter receptor internalization (GO:0098884)	8	7	2.00	+	3.50	3.82E-04	4.20E-03
protein localization to cytoplasmic stress granule (GO:1903608)	8	7	2.00	+	3.50	3.82E-04	4.20E-03
glyoxylate metabolic process (GO:0046487)	8	7	2.00	+	3.50	3.82E-04	4.19E-03
CD8-positive, alpha-beta T cell homeostasis (GO:0160165)	15	13	3.75	+	3.46	9.22E-07	2.05E-05
dCMP metabolic process (GO:0046063)	7	6	1.75	+	3.43	1.35E-03	1.21E-02
response to iron(II) ion (GO:0010040)	7	6	1.75	+	3.43	1.35E-03	1.21E-02
outer mitochondrial membrane organization (GO:0007008)	14	12	3.50	+	3.43	3.21E-06	6.39E-05
fatty acid alpha-oxidation (GO:0001561)	7	6	1.75	+	3.43	1.35E-03	1.20E-02
dCMP catabolic process (GO:0006249)	7	6	1.75	+	3.43	1.35E-03	1.20E-02
pointed-end actin filament capping (GO:0051694)	7	6	1.75	+	3.43	1.35E-03	1.20E-02
pyruvate decarboxylation to acetyl-CoA (GO:0006086)	7	6	1.75	+	3.43	1.35E-03	1.20E-02
regulation of plasma membrane repair (GO:1905684)	7	6	1.75	+	3.43	1.35E-03	1.20E-02
regulation of protein localization to endosome (GO:1905666)	14	12	3.50	+	3.43	3.21E-06	6.38E-05
fat cell proliferation (GO:0070341)	7	6	1.75	+	3.43	1.35E-03	1.20E-02
regulation of mitochondrial ATP synthesis coupled electron transport (GO:1905446)	7	6	1.75	+	3.43	1.35E-03	1.20E-02
endosomal lumen acidification (GO:0048388)	14	12	3.50	+	3.43	3.21E-06	6.37E-05
intestinal stem cell homeostasis (GO:0036335)	7	6	1.75	+	3.43	1.35E-03	1.20E-02
negative regulation of ruffle assembly (GO:1900028)	7	6	1.75	+	3.43	1.35E-03	1.20E-02
chaperone-mediated autophagy (GO:0061684)	7	6	1.75	+	3.43	1.35E-03	1.20E-02
alpha-ketoglutarate transport (GO:0015742)	7	6	1.75	+	3.43	1.35E-03	1.20E-02
negative regulation of triglyceride catabolic process (GO:0010897)	7	6	1.75	+	3.43	1.35E-03	1.20E-02
negative regulation of ERAD pathway (GO:1904293)	7	6	1.75	+	3.43	1.35E-03	1.20E-02
transition between fast and slow fiber (GO:0014883)	7	6	1.75	+	3.43	1.35E-03	1.20E-02
very-low-density lipoprotein particle clearance (GO:0034447)	7	6	1.75	+	3.43	1.35E-03	1.19E-02
lamellipodium morphogenesis (GO:0072673)	7	6	1.75	+	3.43	1.35E-03	1.19E-02
clathrin coat assembly (GO:0048268)	20	17	5.00	+	3.40	2.95E-08	8.41E-07
membrane raft assembly (GO:0001765)	13	11	3.25	+	3.38	1.11E-05	1.93E-04
protein insertion into mitochondrial outer membrane (GO:0045040)	13	11	3.25	+	3.38	1.11E-05	1.93E-04
succinyl-CoA metabolic process (GO:0006104)	13	11	3.25	+	3.38	1.11E-05	1.93E-04
fructose 6-phosphate metabolic process (GO:0006002)	13	11	3.25	+	3.38	1.11E-05	1.92E-04
positive regulation of protein localization to endosome (GO:1905668)	13	11	3.25	+	3.38	1.11E-05	1.92E-04
proteasomal ubiquitin-independent protein catabolic process (GO:0010499)	19	16	4.75	+	3.37	1.01E-07	2.66E-06
regulation of potassium ion import (GO:1903286)	6	5	1.50	+	3.33	4.65E-03	3.38E-02
deoxyribonucleoside catabolic process (GO:0046121)	6	5	1.50	+	3.33	4.65E-03	3.38E-02
response to anesthetic (GO:0072347)	6	5	1.50	+	3.33	4.65E-03	3.38E-02
response to ammonium ion (GO:0060359)	6	5	1.50	+	3.33	4.65E-03	3.37E-02
toxic metabolite repair (GO:0110052)	6	5	1.50	+	3.33	4.65E-03	3.37E-02
endoplasmic reticulum tubular network formation (GO:0071787)	6	5	1.50	+	3.33	4.65E-03	3.37E-02
negative regulation of transforming growth factor beta1 production (GO:0032911)	6	5	1.50	+	3.33	4.65E-03	3.37E-02
response to indole-3-methanol (GO:0071680)	6	5	1.50	+	3.33	4.65E-03	3.37E-02
mammary gland involution (GO:0060056)	6	5	1.50	+	3.33	4.65E-03	3.37E-02
isoleucine metabolic process (GO:0006549)	6	5	1.50	+	3.33	4.65E-03	3.36E-02
gamma-aminobutyric acid import (GO:0051939)	6	5	1.50	+	3.33	4.65E-03	3.36E-02
T-tubule organization (GO:0033292)	6	5	1.50	+	3.33	4.65E-03	3.36E-02
negative regulation of fibrinolysis (GO:0051918)	12	10	3.00	+	3.33	3.77E-05	5.62E-04
CMP catabolic process (GO:0006248)	6	5	1.50	+	3.33	4.65E-03	3.36E-02
positive regulation of nucleobase-containing compound transport (GO:0032241)	6	5	1.50	+	3.33	4.65E-03	3.36E-02
UMP salvage (GO:0044206)	6	5	1.50	+	3.33	4.65E-03	3.36E-02
succinyl-CoA catabolic process (GO:1901289)	6	5	1.50	+	3.33	4.65E-03	3.35E-02
COPI-coated vesicle budding (GO:0035964)	6	5	1.50	+	3.33	4.65E-03	3.35E-02
COPI coating of Golgi vesicle (GO:0048205)	6	5	1.50	+	3.33	4.65E-03	3.35E-02
Golgi transport vesicle coating (GO:0048200)	6	5	1.50	+	3.33	4.65E-03	3.35E-02
gamma-aminobutyric acid biosynthetic process (GO:0009449)	6	5	1.50	+	3.33	4.65E-03	3.35E-02
methylglyoxal metabolic process (GO:0009438)	6	5	1.50	+	3.33	4.65E-03	3.35E-02
post-translational protein targeting to membrane, translocation (GO:0031204)	12	10	3.00	+	3.33	3.77E-05	5.61E-04
GDP-mannose biosynthetic process (GO:0009298)	6	5	1.50	+	3.33	4.65E-03	3.34E-02
adenine transport (GO:0015853)	6	5	1.50	+	3.33	4.65E-03	3.34E-02
pyrimidine ribonucleoside monophosphate catabolic process (GO:0009175)	6	5	1.50	+	3.33	4.65E-03	3.34E-02
glucose-6-phosphate transport (GO:0015760)	6	5	1.50	+	3.33	4.65E-03	3.34E-02
hexose phosphate transport (GO:0015712)	6	5	1.50	+	3.33	4.65E-03	3.34E-02
negative regulation of IRE1-mediated unfolded protein response (GO:1903895)	6	5	1.50	+	3.33	4.65E-03	3.34E-02
fructose 1,6-bisphosphate metabolic process (GO:0030388)	6	5	1.50	+	3.33	4.65E-03	3.33E-02
regulation of long-chain fatty acid import across plasma membrane (GO:0010746)	6	5	1.50	+	3.33	4.65E-03	3.33E-02
actin filament depolymerization (GO:0030042)	12	10	3.00	+	3.33	3.77E-05	5.60E-04
fatty acid omega-oxidation (GO:0010430)	6	5	1.50	+	3.33	4.65E-03	3.33E-02
positive regulation of dopamine metabolic process (GO:0045964)	6	5	1.50	+	3.33	4.65E-03	3.33E-02
negative regulation of dendritic spine maintenance (GO:1902951)	6	5	1.50	+	3.33	4.65E-03	3.33E-02
regulation of skeletal muscle adaptation (GO:0014733)	12	10	3.00	+	3.33	3.77E-05	5.60E-04
branched-chain amino acid catabolic process (GO:0009083)	23	19	5.75	+	3.30	1.08E-08	3.33E-07
negative regulation of cellular respiration (GO:1901856)	11	9	2.75	+	3.27	1.26E-04	1.62E-03
sarcomere organization (GO:0045214)	44	36	11.01	+	3.27	3.84E-15	2.25E-13
oxaloacetate metabolic process (GO:0006107)	11	9	2.75	+	3.27	1.26E-04	1.62E-03
protein deneddylation (GO:0000338)	11	9	2.75	+	3.27	1.26E-04	1.62E-03
plasma membrane to endosome transport (GO:0048227)	11	9	2.75	+	3.27	1.26E-04	1.62E-03
regulation of synaptic vesicle priming (GO:0010807)	11	9	2.75	+	3.27	1.26E-04	1.62E-03
aerobic electron transport chain (GO:0019646)	86	70	21.52	+	3.25	5.84E-28	8.75E-26
regulation of triglyceride catabolic process (GO:0010896)	16	13	4.00	+	3.25	3.78E-06	7.34E-05
cristae formation (GO:0042407)	16	13	4.00	+	3.25	3.78E-06	7.33E-05
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	90	73	22.52	+	3.24	6.47E-29	1.06E-26
ATP synthesis coupled electron transport (GO:0042773)	90	73	22.52	+	3.24	6.47E-29	1.05E-26
CMP metabolic process (GO:0046035)	10	8	2.50	+	3.20	4.17E-04	4.52E-03
formation of cytoplasmic translation initiation complex (GO:0001732)	15	12	3.75	+	3.20	1.24E-05	2.11E-04
Bergmann glial cell differentiation (GO:0060020)	10	8	2.50	+	3.20	4.17E-04	4.52E-03
lysine catabolic process (GO:0006554)	10	8	2.50	+	3.20	4.17E-04	4.51E-03
L-leucine metabolic process (GO:0006551)	10	8	2.50	+	3.20	4.17E-04	4.51E-03
negative regulation of oxidative phosphorylation (GO:0090324)	10	8	2.50	+	3.20	4.17E-04	4.51E-03
lactone metabolic process (GO:1901334)	15	12	3.75	+	3.20	1.24E-05	2.10E-04
actin filament severing (GO:0051014)	15	12	3.75	+	3.20	1.24E-05	2.10E-04
positive regulation of protein localization to Cajal body (GO:1904871)	10	8	2.50	+	3.20	4.17E-04	4.50E-03
regulation of protein localization to Cajal body (GO:1904869)	10	8	2.50	+	3.20	4.17E-04	4.50E-03
Golgi vesicle budding (GO:0048194)	10	8	2.50	+	3.20	4.17E-04	4.50E-03
triglyceride-rich lipoprotein particle remodeling (GO:0034370)	10	8	2.50	+	3.20	4.17E-04	4.49E-03
ATP biosynthetic process (GO:0006754)	86	68	21.52	+	3.16	8.59E-26	1.09E-23
aldehyde catabolic process (GO:0046185)	14	11	3.50	+	3.14	3.99E-05	5.87E-04
tricarboxylic acid metabolic process (GO:0072350)	14	11	3.50	+	3.14	3.99E-05	5.87E-04
fatty acid beta-oxidation using acyl-CoA oxidase (GO:0033540)	14	11	3.50	+	3.14	3.99E-05	5.86E-04
acetyl-CoA biosynthetic process (GO:0006085)	14	11	3.50	+	3.14	3.99E-05	5.85E-04
galactose metabolic process (GO:0006012)	14	11	3.50	+	3.14	3.99E-05	5.85E-04
branched-chain amino acid metabolic process (GO:0009081)	28	22	7.01	+	3.14	4.12E-09	1.36E-07
positive regulation of fibroblast growth factor receptor signaling pathway (GO:0045743)	9	7	2.25	+	3.11	1.35E-03	1.21E-02
dTMP metabolic process (GO:0046073)	9	7	2.25	+	3.11	1.35E-03	1.21E-02
Notch receptor processing (GO:0007220)	9	7	2.25	+	3.11	1.35E-03	1.21E-02
cellular response to salt stress (GO:0071472)	9	7	2.25	+	3.11	1.35E-03	1.21E-02
2-oxoglutarate metabolic process (GO:0006103)	18	14	4.50	+	3.11	3.94E-06	7.60E-05
intracellular oxygen homeostasis (GO:0032364)	9	7	2.25	+	3.11	1.35E-03	1.21E-02
regulation of membrane repolarization during action potential (GO:0098903)	9	7	2.25	+	3.11	1.35E-03	1.21E-02
non-proteinogenic amino acid catabolic process (GO:0170044)	18	14	4.50	+	3.11	3.94E-06	7.59E-05
pyrimidine deoxyribonucleoside monophosphate catabolic process (GO:0009178)	9	7	2.25	+	3.11	1.35E-03	1.21E-02
pyrimidine nucleoside monophosphate catabolic process (GO:0009131)	9	7	2.25	+	3.11	1.35E-03	1.21E-02
positive regulation of triglyceride catabolic process (GO:0010898)	9	7	2.25	+	3.11	1.35E-03	1.21E-02
synaptic vesicle maturation (GO:0016188)	27	21	6.76	+	3.11	1.30E-08	3.92E-07
respiratory electron transport chain (GO:0022904)	106	82	26.52	+	3.09	1.31E-29	2.25E-27
oxidative phosphorylation (GO:0006119)	114	88	28.52	+	3.09	1.49E-31	2.86E-29
calcium import into the mitochondrion (GO:0036444)	13	10	3.25	+	3.07	1.26E-04	1.63E-03
relaxation of cardiac muscle (GO:0055119)	13	10	3.25	+	3.07	1.26E-04	1.63E-03
phosphate ion transmembrane transport (GO:0035435)	13	10	3.25	+	3.07	1.26E-04	1.62E-03
response to mercury ion (GO:0046689)	13	10	3.25	+	3.07	1.26E-04	1.62E-03
fatty acid beta-oxidation (GO:0006635)	60	46	15.01	+	3.06	6.33E-17	4.03E-15
purine nucleoside triphosphate biosynthetic process (GO:0009145)	98	75	24.52	+	3.06	1.16E-26	1.58E-24
establishment or maintenance of transmembrane electrochemical gradient (GO:0010248)	17	13	4.25	+	3.06	1.24E-05	2.11E-04
tricarboxylic acid cycle (GO:0006099)	34	26	8.51	+	3.06	4.38E-10	1.65E-08
endoplasmic reticulum membrane organization (GO:0090158)	17	13	4.25	+	3.06	1.24E-05	2.11E-04
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	97	74	24.27	+	3.05	3.60E-26	4.71E-24
sodium ion export across plasma membrane (GO:0036376)	21	16	5.25	+	3.05	1.24E-06	2.68E-05
retrograde axonal transport (GO:0008090)	21	16	5.25	+	3.05	1.24E-06	2.68E-05
regulation of AMPA receptor activity (GO:2000311)	29	22	7.26	+	3.03	1.30E-08	3.92E-07
acetyl-CoA metabolic process (GO:0006084)	33	25	8.26	+	3.03	1.35E-09	4.75E-08
myofibril assembly (GO:0030239)	69	52	17.26	+	3.01	2.20E-18	1.55E-16
negative regulation of long-term synaptic potentiation (GO:1900272)	12	9	3.00	+	3.00	3.93E-04	4.28E-03
urea cycle (GO:0000050)	12	9	3.00	+	3.00	3.93E-04	4.28E-03
membrane tubulation (GO:0097749)	12	9	3.00	+	3.00	3.93E-04	4.28E-03
SNARE complex assembly (GO:0035493)	12	9	3.00	+	3.00	3.93E-04	4.27E-03
L-ascorbic acid metabolic process (GO:0019852)	12	9	3.00	+	3.00	3.93E-04	4.27E-03
nitrogen cycle metabolic process (GO:0071941)	16	12	4.00	+	3.00	3.81E-05	5.64E-04
fatty acid elongation, saturated fatty acid (GO:0019367)	8	6	2.00	+	3.00	4.24E-03	3.15E-02
metabolite repair (GO:0110051)	8	6	2.00	+	3.00	4.24E-03	3.14E-02
positive regulation of lipase activity (GO:0060193)	8	6	2.00	+	3.00	4.24E-03	3.14E-02
dense core granule transport (GO:1901950)	8	6	2.00	+	3.00	4.24E-03	3.14E-02
paracellular transport (GO:0160184)	8	6	2.00	+	3.00	4.24E-03	3.14E-02
L-phenylalanine catabolic process (GO:0006559)	8	6	2.00	+	3.00	4.24E-03	3.14E-02
L-phenylalanine metabolic process (GO:0006558)	8	6	2.00	+	3.00	4.24E-03	3.14E-02
regulation of amino acid metabolic process (GO:0006521)	8	6	2.00	+	3.00	4.24E-03	3.13E-02
adiponectin-activated signaling pathway (GO:0033211)	8	6	2.00	+	3.00	4.24E-03	3.13E-02
cellular response to peptide (GO:1901653)	8	6	2.00	+	3.00	4.24E-03	3.13E-02
regulation of long-chain fatty acid import into cell (GO:0140212)	8	6	2.00	+	3.00	4.24E-03	3.13E-02
establishment of Golgi localization (GO:0051683)	8	6	2.00	+	3.00	4.24E-03	3.13E-02
cellular response to antibiotic (GO:0071236)	8	6	2.00	+	3.00	4.24E-03	3.13E-02
dense core granule cytoskeletal transport (GO:0099519)	8	6	2.00	+	3.00	4.24E-03	3.12E-02
mitochondrion-endoplasmic reticulum membrane tethering (GO:1990456)	8	6	2.00	+	3.00	4.24E-03	3.12E-02
regulation of mucus secretion (GO:0070255)	8	6	2.00	+	3.00	4.24E-03	3.12E-02
